Cow 1,Cow 2,Cow 3,Cow 4,Cow 5,Cow 6,Cow 7,Cow 8,Cow 9,Cow 10
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
L,L,L,L,L,L,L,L,L,L
