Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition
2024-03-05,00:00,Cow_1,0,0,0,15,29.6,Clear
2024-03-05,00:00,Cow_2,8,3,4,0,29.6,Clear
2024-03-05,00:00,Cow_3,11,0,5,0,29.6,Clear
2024-03-05,00:00,Cow_4,8,1,6,0,29.6,Clear
2024-03-05,00:00,Cow_5,9,0,6,0,29.6,Clear
2024-03-05,00:00,Cow_6,9,1,5,0,29.6,Clear
2024-03-05,00:00,Cow_7,11,0,6,0,29.6,Clear
2024-03-05,00:00,Cow_8,12,0,6,0,29.6,Clear
2024-03-05,00:00,Cow_9,12,0,4,0,29.6,Clear
2024-03-05,00:00,Cow_10,9,2,4,0,29.6,Clear
2024-03-05,00:15,Cow_1,12,0,5,0,34.2,Sunny
2024-03-05,00:15,Cow_2,8,2,5,0,34.2,Sunny
2024-03-05,00:15,Cow_3,0,0,0,15,34.2,Sunny
2024-03-05,00:15,Cow_4,8,3,4,0,34.2,Sunny
2024-03-05,00:15,Cow_5,10,0,5,0,34.2,Sunny
2024-03-05,00:15,Cow_6,11,0,4,0,34.2,Sunny
2024-03-05,00:15,Cow_7,8,1,6,0,34.2,Sunny
2024-03-05,00:15,Cow_8,11,0,4,0,34.2,Sunny
2024-03-05,00:15,Cow_9,11,0,6,0,34.2,Sunny
2024-03-05,00:15,Cow_10,12,0,4,0,34.2,Sunny
2024-03-05,00:30,Cow_1,8,1,6,0,27.9,Cloudy
2024-03-05,00:30,Cow_2,10,1,4,0,27.9,Cloudy
2024-03-05,00:30,Cow_3,9,2,4,0,27.9,Cloudy
2024-03-05,00:30,Cow_4,8,1,6,0,27.9,Cloudy
2024-03-05,00:30,Cow_5,11,0,4,0,27.9,Cloudy
2024-03-05,00:30,Cow_6,12,0,6,0,27.9,Cloudy
2024-03-05,00:30,Cow_7,10,1,4,0,27.9,Cloudy
2024-03-05,00:30,Cow_8,8,2,5,0,27.9,Cloudy
2024-03-05,00:30,Cow_9,12,0,4,0,27.9,Cloudy
2024-03-05,00:30,Cow_10,10,0,5,0,27.9,Cloudy
2024-03-05,00:45,Cow_1,11,0,5,0,26.1,Clear
2024-03-05,00:45,Cow_2,9,0,6,0,26.1,Clear
2024-03-05,00:45,Cow_3,11,0,4,0,26.1,Clear
2024-03-05,00:45,Cow_4,10,0,5,0,26.1,Clear
2024-03-05,00:45,Cow_5,12,0,5,0,26.1,Clear
2024-03-05,00:45,Cow_6,10,0,5,0,26.1,Clear
2024-03-05,00:45,Cow_7,11,0,5,0,26.1,Clear
2024-03-05,00:45,Cow_8,9,2,4,0,26.1,Clear
2024-03-05,00:45,Cow_9,9,1,5,0,26.1,Clear
2024-03-05,00:45,Cow_10,10,0,5,0,26.1,Clear
2024-03-05,01:00,Cow_1,12,0,6,0,32.2,Clear
2024-03-05,01:00,Cow_2,11,0,6,0,32.2,Clear
2024-03-05,01:00,Cow_3,9,0,6,0,32.2,Clear
2024-03-05,01:00,Cow_4,10,0,5,0,32.2,Clear
2024-03-05,01:00,Cow_5,10,0,6,0,32.2,Clear
2024-03-05,01:00,Cow_6,8,1,6,0,32.2,Clear
2024-03-05,01:00,Cow_7,10,0,6,0,32.2,Clear
2024-03-05,01:00,Cow_8,9,1,5,0,32.2,Clear
2024-03-05,01:00,Cow_9,9,0,6,0,32.2,Clear
2024-03-05,01:00,Cow_10,9,0,6,0,32.2,Clear
