Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition
2023-08-27,00:00,Cow_1,0,0,0,15,28.8,Cloudy
2023-08-27,00:00,Cow_2,11,0,6,0,28.8,Cloudy
2023-08-27,00:00,Cow_3,9,2,4,0,28.8,Cloudy
2023-08-27,00:00,Cow_4,9,2,4,0,28.8,Cloudy
2023-08-27,00:00,Cow_5,12,0,5,0,28.8,Cloudy
2023-08-27,00:00,Cow_6,8,1,6,0,28.8,Cloudy
2023-08-27,00:00,Cow_7,10,1,4,0,28.8,Cloudy
2023-08-27,00:00,Cow_8,11,0,5,0,28.8,Cloudy
2023-08-27,00:00,Cow_9,10,0,6,0,28.8,Cloudy
2023-08-27,00:00,Cow_10,10,0,5,0,28.8,Cloudy
2023-08-27,00:15,Cow_1,12,1,2,0,31.1,Clear
2023-08-27,00:15,Cow_2,10,0,6,0,31.1,Clear
2023-08-27,00:15,Cow_3,12,1,2,0,31.1,Clear
2023-08-27,00:15,Cow_4,12,0,6,0,31.1,Clear
2023-08-27,00:15,Cow_5,10,0,5,0,31.1,Clear
2023-08-27,00:15,Cow_6,8,2,5,0,31.1,Clear
2023-08-27,00:15,Cow_7,8,1,6,0,31.1,Clear
2023-08-27,00:15,Cow_8,11,0,4,0,31.1,Clear
2023-08-27,00:15,Cow_9,10,0,6,0,31.1,Clear
2023-08-27,00:15,Cow_10,12,0,4,0,31.1,Clear
2023-08-27,00:30,Cow_1,11,0,5,0,28.8,Sunny
2023-08-27,00:30,Cow_2,0,0,0,15,28.8,Sunny
2023-08-27,00:30,Cow_3,12,1,2,0,28.8,Sunny
2023-08-27,00:30,Cow_4,9,2,4,0,28.8,Sunny
2023-08-27,00:30,Cow_5,12,0,6,0,28.8,Sunny
2023-08-27,00:30,Cow_6,8,2,5,0,28.8,Sunny
2023-08-27,00:30,Cow_7,12,0,5,0,28.8,Sunny
2023-08-27,00:30,Cow_8,9,2,4,0,28.8,Sunny
2023-08-27,00:30,Cow_9,10,0,5,0,28.8,Sunny
2023-08-27,00:30,Cow_10,10,1,4,0,28.8,Sunny
2023-08-27,00:45,Cow_1,11,3,1,0,29.8,Rainy
