Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition,Camera Field
2023-03-22,00:00,Cow_1,8,4,3,0,32.1,Cloudy,Field B
2023-03-22,00:00,Cow_2,0,9,8,0,32.1,Cloudy,Field B
2023-03-22,00:00,Cow_3,2,9,4,0,32.1,Cloudy,Field A
2023-03-22,00:00,Cow_4,9,6,0,0,32.1,Cloudy,Field B
2023-03-22,00:00,Cow_5,10,1,4,0,32.1,Cloudy,Field B
2023-03-22,00:00,Cow_6,14,12,0,0,32.1,Cloudy,Field C
2023-03-22,00:00,Cow_7,11,0,7,0,32.1,Cloudy,Field C
2023-03-22,00:00,Cow_8,4,6,5,0,32.1,Cloudy,Field B
2023-03-22,00:00,Cow_9,0,0,0,15,32.1,Cloudy,Field A
2023-03-22,00:00,Cow_10,5,12,0,0,32.1,Cloudy,Field A
2023-03-22,00:00,Cow_11,6,6,3,0,32.1,Cloudy,Field A
2023-03-22,00:00,Cow_12,9,0,7,0,32.1,Cloudy,Field C
2023-03-22,00:00,Cow_13,10,0,7,0,32.1,Cloudy,Field B
2023-03-22,00:00,Cow_14,2,7,6,0,32.1,Cloudy,Field A
2023-03-22,00:00,Cow_15,2,6,7,0,32.1,Cloudy,Field C
2023-03-22,00:00,Cow_16,0,10,8,0,32.1,Cloudy,Field A
2023-03-22,00:00,Cow_17,3,8,4,0,32.1,Cloudy,Field A
2023-03-22,00:00,Cow_18,6,5,4,0,32.1,Cloudy,Field C
2023-03-22,00:00,Cow_19,10,0,6,0,32.1,Cloudy,Field C
2023-03-22,00:00,Cow_20,2,5,8,0,32.1,Cloudy,Field A
2023-03-22,00:00,Cow_21,14,3,0,0,32.1,Cloudy,Field B
2023-03-22,00:00,Cow_22,7,5,3,0,32.1,Cloudy,Field B
2023-03-22,00:00,Cow_23,2,10,3,0,32.1,Cloudy,Field A
2023-03-22,00:00,Cow_24,0,9,7,0,32.1,Cloudy,Field A
2023-03-22,00:00,Cow_25,9,0,8,0,32.1,Cloudy,Field C
2023-03-22,00:00,Cow_26,0,10,8,0,32.1,Cloudy,Field B
2023-03-22,00:00,Cow_27,6,6,3,0,32.1,Cloudy,Field B
2023-03-22,00:00,Cow_28,13,6,0,0,32.1,Cloudy,Field C
2023-03-22,00:00,Cow_29,0,9,6,0,32.1,Cloudy,Field A
2023-03-22,00:00,Cow_30,14,10,0,0,32.1,Cloudy,Field B
2023-03-22,00:00,Cow_31,8,3,4,0,32.1,Cloudy,Field A
