Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition
2024-05-15,00:00,Cow_1,11,0,6,0,25.8,Sunny
2024-05-15,00:00,Cow_2,12,0,6,0,25.8,Sunny
2024-05-15,00:00,Cow_3,11,0,4,0,25.8,Sunny
2024-05-15,00:00,Cow_4,10,1,4,0,25.8,Sunny
2024-05-15,00:00,Cow_5,10,0,5,0,25.8,Sunny
2024-05-15,00:00,Cow_6,0,0,0,15,25.8,Sunny
2024-05-15,00:00,Cow_7,9,0,6,0,25.8,Sunny
2024-05-15,00:00,Cow_8,9,1,5,0,25.8,Sunny
2024-05-15,00:00,Cow_9,12,0,6,0,25.8,Sunny
2024-05-15,00:00,Cow_10,0,0,0,15,25.8,Sunny
2024-05-15,00:15,Cow_1,8,3,4,0,28.4,Clear
2024-05-15,00:15,Cow_2,10,0,6,0,28.4,Clear
2024-05-15,00:15,Cow_3,0,0,0,15,28.4,Clear
2024-05-15,00:15,Cow_4,10,1,4,0,28.4,Clear
2024-05-15,00:15,Cow_5,12,0,6,0,28.4,Clear
2024-05-15,00:15,Cow_6,8,2,5,0,28.4,Clear
2024-05-15,00:15,Cow_7,10,0,5,0,28.4,Clear
2024-05-15,00:15,Cow_8,0,0,0,15,28.4,Clear
2024-05-15,00:15,Cow_9,11,0,5,0,28.4,Clear
2024-05-15,00:15,Cow_10,8,2,5,0,28.4,Clear
2024-05-15,00:30,Cow_1,10,1,4,0,31.6,Clear
2024-05-15,00:30,Cow_2,9,0,6,0,31.6,Clear
2024-05-15,00:30,Cow_3,10,1,4,0,31.6,Clear
2024-05-15,00:30,Cow_4,11,0,4,0,31.6,Clear
2024-05-15,00:30,Cow_5,9,1,5,0,31.6,Clear
2024-05-15,00:30,Cow_6,9,1,5,0,31.6,Clear
2024-05-15,00:30,Cow_7,8,1,6,0,31.6,Clear
2024-05-15,00:30,Cow_8,9,0,6,0,31.6,Clear
2024-05-15,00:30,Cow_9,10,0,5,0,31.6,Clear
2024-05-15,00:30,Cow_10,11,0,5,0,31.6,Clear
2024-05-15,00:45,Cow_1,8,3,4,0,27.8,Cloudy
2024-05-15,00:45,Cow_2,0,0,0,15,27.8,Cloudy
2024-05-15,00:45,Cow_3,11,0,5,0,27.8,Cloudy
2024-05-15,00:45,Cow_4,15,0,6,0,27.8,Cloudy
2024-05-15,00:45,Cow_5,0,0,0,15,27.8,Cloudy
2024-05-15,00:45,Cow_6,9,1,5,0,27.8,Cloudy
2024-05-15,00:45,Cow_7,11,0,5,0,27.8,Cloudy
2024-05-15,00:45,Cow_8,10,1,4,0,27.8,Cloudy
2024-05-15,00:45,Cow_9,0,0,0,15,27.8,Cloudy
2024-05-15,00:45,Cow_10,10,0,6,0,27.8,Cloudy
2024-05-15,01:00,Cow_1,9,0,6,0,35.0,Sunny
2024-05-15,01:00,Cow_2,12,0,5,0,35.0,Sunny
2024-05-15,01:00,Cow_3,8,2,5,0,35.0,Sunny
2024-05-15,01:00,Cow_4,12,0,5,0,35.0,Sunny
2024-05-15,01:00,Cow_5,10,1,4,0,35.0,Sunny
2024-05-15,01:00,Cow_6,11,0,6,0,35.0,Sunny
2024-05-15,01:00,Cow_7,10,1,4,0,35.0,Sunny
2024-05-15,01:00,Cow_8,12,0,5,0,35.0,Sunny
2024-05-15,01:00,Cow_9,8,1,6,0,35.0,Sunny
2024-05-15,01:00,Cow_10,10,0,6,0,35.0,Sunny
2024-05-15,01:15,Cow_1,11,0,6,0,31.7,Cloudy
2024-05-15,01:15,Cow_2,12,0,5,0,31.7,Cloudy
2024-05-15,01:15,Cow_3,9,2,4,0,31.7,Cloudy
2024-05-15,01:15,Cow_4,11,0,5,0,31.7,Cloudy
2024-05-15,01:15,Cow_5,9,2,4,0,31.7,Cloudy
2024-05-15,01:15,Cow_6,10,0,5,0,31.7,Cloudy
2024-05-15,01:15,Cow_7,9,0,6,0,31.7,Cloudy
2024-05-15,01:15,Cow_8,8,2,5,0,31.7,Cloudy
2024-05-15,01:15,Cow_9,9,1,5,0,31.7,Cloudy
2024-05-15,01:15,Cow_10,10,0,6,0,31.7,Cloudy
2024-05-15,01:30,Cow_1,11,1,3,0,30.6,Rainy
2024-05-15,01:30,Cow_2,9,1,5,0,30.6,Rainy
2024-05-15,01:30,Cow_3,9,2,4,0,30.6,Rainy
2024-05-15,01:30,Cow_4,13,0,6,0,30.6,Rainy
2024-05-15,01:30,Cow_5,9,0,6,0,30.6,Rainy
2024-05-15,01:30,Cow_6,11,0,6,0,30.6,Rainy
2024-05-15,01:30,Cow_7,10,0,6,0,30.6,Rainy
2024-05-15,01:30,Cow_8,8,1,6,0,30.6,Rainy
2024-05-15,01:30,Cow_9,11,0,4,0,30.6,Rainy
2024-05-15,01:30,Cow_10,8,2,5,0,30.6,Rainy
2024-05-15,01:45,Cow_1,12,0,4,0,28.4,Clear
2024-05-15,01:45,Cow_2,0,0,0,15,28.4,Clear
2024-05-15,01:45,Cow_3,9,0,6,0,28.4,Clear
2024-05-15,01:45,Cow_4,0,0,0,15,28.4,Clear
2024-05-15,01:45,Cow_5,9,2,4,0,28.4,Clear
2024-05-15,01:45,Cow_6,11,0,4,0,28.4,Clear
2024-05-15,01:45,Cow_7,9,1,5,0,28.4,Clear
2024-05-15,01:45,Cow_8,11,0,4,0,28.4,Clear
2024-05-15,01:45,Cow_9,8,3,4,0,28.4,Clear
2024-05-15,01:45,Cow_10,12,0,4,0,28.4,Clear
2024-05-15,02:00,Cow_1,12,2,1,0,26.6,Clear
2024-05-15,02:00,Cow_2,12,0,4,0,26.6,Clear
2024-05-15,02:00,Cow_3,12,1,2,0,26.6,Clear
2024-05-15,02:00,Cow_4,11,0,4,0,26.6,Clear
2024-05-15,02:00,Cow_5,10,0,5,0,26.6,Clear
2024-05-15,02:00,Cow_6,12,0,4,0,26.6,Clear
2024-05-15,02:00,Cow_7,10,0,6,0,26.6,Clear
2024-05-15,02:00,Cow_8,10,0,6,0,26.6,Clear
2024-05-15,02:00,Cow_9,12,0,5,0,26.6,Clear
2024-05-15,02:00,Cow_10,12,0,6,0,26.6,Clear
2024-05-15,02:15,Cow_1,8,3,4,0,32.1,Cloudy
2024-05-15,02:15,Cow_2,9,0,6,0,32.1,Cloudy
2024-05-15,02:15,Cow_3,10,3,2,0,32.1,Cloudy
2024-05-15,02:15,Cow_4,11,0,4,0,32.1,Cloudy
2024-05-15,02:15,Cow_5,9,2,4,0,32.1,Cloudy
2024-05-15,02:15,Cow_6,10,0,6,0,32.1,Cloudy
2024-05-15,02:15,Cow_7,11,0,4,0,32.1,Cloudy
2024-05-15,02:15,Cow_8,10,1,4,0,32.1,Cloudy
2024-05-15,02:15,Cow_9,10,0,5,0,32.1,Cloudy
2024-05-15,02:15,Cow_10,12,0,6,0,32.1,Cloudy
2024-05-15,02:30,Cow_1,9,2,4,0,27.1,Clear
2024-05-15,02:30,Cow_2,11,0,6,0,27.1,Clear
2024-05-15,02:30,Cow_3,12,0,4,0,27.1,Clear
2024-05-15,02:30,Cow_4,0,0,0,15,27.1,Clear
2024-05-15,02:30,Cow_5,9,2,4,0,27.1,Clear
2024-05-15,02:30,Cow_6,9,1,5,0,27.1,Clear
2024-05-15,02:30,Cow_7,9,2,4,0,27.1,Clear
2024-05-15,02:30,Cow_8,9,1,5,0,27.1,Clear
