Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition,Camera Field
2023-05-27,00:00,Cow_1,5,4,6,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_2,9,0,6,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_3,1,8,6,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_4,0,0,0,15,24.9,Rainy,Field B
2023-05-27,00:00,Cow_5,2,5,8,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_6,11,6,0,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_7,0,0,0,15,24.9,Rainy,Field B
2023-05-27,00:00,Cow_8,11,0,7,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_9,4,7,4,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_10,10,0,5,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_11,8,6,1,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_12,5,6,4,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_13,8,4,3,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_14,11,6,0,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_15,0,11,9,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_16,7,4,4,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_17,5,3,7,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_18,9,3,3,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_19,14,8,0,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_20,14,0,5,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_21,6,4,5,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_22,0,0,0,15,24.9,Rainy,Field A
2023-05-27,00:00,Cow_23,4,7,4,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_24,6,1,8,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_25,6,5,4,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_26,11,0,8,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_27,12,0,5,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_28,14,5,0,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_29,6,6,3,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_30,14,6,0,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_31,12,0,8,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_32,13,0,4,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_33,12,4,0,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_34,0,0,0,15,24.9,Rainy,Field B
2023-05-27,00:00,Cow_35,12,0,6,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_36,8,6,1,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_37,6,4,5,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_38,8,3,4,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_39,3,6,6,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_40,7,5,3,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_41,13,0,3,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_42,1,7,7,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_43,6,4,5,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_44,2,7,6,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_45,5,6,4,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_46,0,0,0,15,24.9,Rainy,Field B
2023-05-27,00:00,Cow_47,6,4,5,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_48,12,7,0,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_49,10,6,0,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_50,6,3,6,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_51,0,10,8,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_52,5,4,6,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_53,6,3,6,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_54,14,8,0,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_55,12,4,0,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_56,1,10,4,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_57,3,7,5,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_58,0,0,0,15,24.9,Rainy,Field A
2023-05-27,00:00,Cow_59,12,4,0,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_60,0,0,0,15,24.9,Rainy,Field B
2023-05-27,00:00,Cow_61,8,4,3,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_62,5,5,5,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_63,1,6,8,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_64,13,7,0,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_65,0,9,8,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_66,5,4,6,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_67,9,6,0,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_68,6,10,0,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_69,5,8,2,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_70,11,5,0,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_71,11,10,0,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_72,5,6,4,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_73,6,4,5,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_74,11,8,0,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_75,5,4,6,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_76,5,5,5,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_77,1,8,6,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_78,1,6,8,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_79,14,0,4,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_80,7,10,0,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_81,11,1,3,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_82,10,0,5,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_83,7,5,3,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_84,13,10,0,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_85,9,8,0,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_86,5,7,3,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_87,13,0,4,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_88,9,0,8,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_89,0,0,0,15,24.9,Rainy,Field C
2023-05-27,00:00,Cow_90,6,5,4,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_91,13,0,6,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_92,4,5,6,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_93,6,4,5,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_94,6,8,1,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_95,3,4,8,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_96,2,6,7,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_97,14,0,2,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_98,8,0,7,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_99,0,9,8,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_100,0,8,8,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_101,5,11,0,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_102,14,3,0,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_103,9,4,2,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_104,13,0,4,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_105,7,4,4,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_106,0,0,0,15,24.9,Rainy,Field C
2023-05-27,00:00,Cow_107,14,4,0,0,24.9,Rainy,Field C
2023-05-27,00:00,Cow_108,10,0,6,0,24.9,Rainy,Field B
2023-05-27,00:00,Cow_109,0,0,0,15,24.9,Rainy,Field B
2023-05-27,00:00,Cow_110,1,11,3,0,24.9,Rainy,Field A
2023-05-27,00:00,Cow_111,11,10,0,0,24.9,Rainy,Field C
