Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Temperature (°C),Weather Condition,Notes
2023-07-15,00:00,Cow_1,0,12,3,25.1,Cloudy,
2023-07-15,00:00,Cow_2,13,0,2,25.1,Cloudy,
2023-07-15,00:00,Cow_3,15,0,0,25.1,Cloudy,
2023-07-15,00:00,Cow_4,8,5,2,25.1,Cloudy,
2023-07-15,00:00,Cow_5,10,2,3,25.1,Cloudy,
2023-07-15,00:00,Cow_6,13,2,0,25.1,Cloudy,
2023-07-15,00:00,Cow_7,12,3,0,25.1,Cloudy,
2023-07-15,00:00,Cow_8,7,5,3,25.1,Cloudy,
2023-07-15,00:00,Cow_9,2,9,4,25.1,Cloudy,
2023-07-15,00:00,Cow_10,4,8,3,25.1,Cloudy,
2023-07-15,00:15,Cow_1,5,6,4,33.6,Sunny,
2023-07-15,00:15,Cow_2,7,3,5,33.6,Sunny,
2023-07-15,00:15,Cow_3,12,0,3,33.6,Sunny,
2023-07-15,00:15,Cow_4,9,4,2,33.6,Sunny,
2023-07-15,00:15,Cow_5,10,0,5,33.6,Sunny,
2023-07-15,00:15,Cow_6,12,2,1,33.6,Sunny,
2023-07-15,00:15,Cow_7,4,8,3,33.6,Sunny,
2023-07-15,00:15,Cow_8,14,0,1,33.6,Sunny,
2023-07-15,00:15,Cow_9,0,6,9,33.6,Sunny,
2023-07-15,00:15,Cow_10,3,1,11,33.6,Sunny,
2023-07-15,00:30,Cow_1,4,10,1,26.5,Cloudy,
2023-07-15,00:30,Cow_2,4,4,7,26.5,Cloudy,
2023-07-15,00:30,Cow_3,4,10,1,26.5,Cloudy,
2023-07-15,00:30,Cow_4,10,3,2,26.5,Cloudy,
2023-07-15,00:30,Cow_5,12,0,3,26.5,Cloudy,
2023-07-15,00:30,Cow_6,8,5,2,26.5,Cloudy,
2023-07-15,00:30,Cow_7,9,3,3,26.5,Cloudy,
2023-07-15,00:30,Cow_8,11,4,0,26.5,Cloudy,
2023-07-15,00:30,Cow_9,14,0,1,26.5,Cloudy,
2023-07-15,00:30,Cow_10,2,7,6,26.5,Cloudy,
2023-07-15,00:45,Cow_1,4,10,1,30.7,Sunny,
2023-07-15,00:45,Cow_2,12,3,0,30.7,Sunny,
2023-07-15,00:45,Cow_3,12,3,0,30.7,Sunny,
2023-07-15,00:45,Cow_4,1,0,14,30.7,Sunny,
2023-07-15,00:45,Cow_5,4,10,1,30.7,Sunny,
2023-07-15,00:45,Cow_6,5,7,3,30.7,Sunny,
2023-07-15,00:45,Cow_7,2,1,12,30.7,Sunny,
2023-07-15,00:45,Cow_8,6,3,6,30.7,Sunny,
2023-07-15,00:45,Cow_9,10,3,2,30.7,Sunny,
2023-07-15,00:45,Cow_10,4,10,1,30.7,Sunny,
2023-07-15,01:00,Cow_1,10,5,0,30.0,Rainy,
2023-07-15,01:00,Cow_2,13,0,2,30.0,Rainy,
2023-07-15,01:00,Cow_3,12,1,2,30.0,Rainy,
2023-07-15,01:00,Cow_4,15,0,0,30.0,Rainy,
2023-07-15,01:00,Cow_5,2,0,13,30.0,Rainy,
2023-07-15,01:00,Cow_6,0,10,5,30.0,Rainy,
2023-07-15,01:00,Cow_7,8,4,3,30.0,Rainy,
2023-07-15,01:00,Cow_8,2,9,4,30.0,Rainy,
2023-07-15,01:00,Cow_9,4,7,4,30.0,Rainy,
2023-07-15,01:00,Cow_10,3,3,9,30.0,Rainy,
2023-07-15,01:15,Cow_1,5,7,3,31.5,Cloudy,
2023-07-15,01:15,Cow_2,11,4,0,31.5,Cloudy,
2023-07-15,01:15,Cow_3,8,0,7,31.5,Cloudy,
2023-07-15,01:15,Cow_4,12,3,0,31.5,Cloudy,
2023-07-15,01:15,Cow_5,15,0,0,31.5,Cloudy,
2023-07-15,01:15,Cow_6,9,2,4,31.5,Cloudy,
2023-07-15,01:15,Cow_7,13,0,2,31.5,Cloudy,
2023-07-15,01:15,Cow_8,14,1,0,31.5,Cloudy,
2023-07-15,01:15,Cow_9,1,8,6,31.5,Cloudy,
2023-07-15,01:15,Cow_10,3,3,9,31.5,Cloudy,
2023-07-15,01:30,Cow_1,1,5,9,33.4,Clear,
2023-07-15,01:30,Cow_2,5,9,1,33.4,Clear,
2023-07-15,01:30,Cow_3,6,3,6,33.4,Clear,
2023-07-15,01:30,Cow_4,8,4,3,33.4,Clear,
2023-07-15,01:30,Cow_5,0,4,11,33.4,Clear,
