Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Temperature (°C),Weather Condition,Notes
2024-05-16,00:00,Cow_1,9,3,3,27.6,Sunny,
2024-05-16,00:00,Cow_2,1,6,8,27.6,Sunny,
2024-05-16,00:00,Cow_3,11,2,2,27.6,Sunny,
2024-05-16,00:00,Cow_4,4,8,3,27.6,Sunny,
2024-05-16,00:00,Cow_5,6,6,3,27.6,Sunny,
2024-05-16,00:00,Cow_6,7,5,3,27.6,Sunny,
2024-05-16,00:00,Cow_7,2,5,8,27.6,Sunny,
2024-05-16,00:00,Cow_8,1,3,11,27.6,Sunny,
2024-05-16,00:00,Cow_9,0,2,13,27.6,Sunny,
2024-05-16,00:00,Cow_10,1,0,14,27.6,Sunny,
2024-05-16,00:15,Cow_1,7,0,8,30.9,Clear,
2024-05-16,00:15,Cow_2,11,0,4,30.9,Clear,
2024-05-16,00:15,Cow_3,15,0,0,30.9,Clear,
2024-05-16,00:15,Cow_4,4,2,9,30.9,Clear,
2024-05-16,00:15,Cow_5,7,7,1,30.9,Clear,
2024-05-16,00:15,Cow_6,14,1,0,30.9,Clear,
2024-05-16,00:15,Cow_7,4,7,4,30.9,Clear,
2024-05-16,00:15,Cow_8,15,0,0,30.9,Clear,
2024-05-16,00:15,Cow_9,1,4,10,30.9,Clear,
2024-05-16,00:15,Cow_10,13,1,1,30.9,Clear,
2024-05-16,00:30,Cow_1,13,1,1,27.5,Rainy,
2024-05-16,00:30,Cow_2,5,2,8,27.5,Rainy,
2024-05-16,00:30,Cow_3,10,3,2,27.5,Rainy,
2024-05-16,00:30,Cow_4,12,1,2,27.5,Rainy,
2024-05-16,00:30,Cow_5,9,0,6,27.5,Rainy,
2024-05-16,00:30,Cow_6,13,1,1,27.5,Rainy,
2024-05-16,00:30,Cow_7,13,1,1,27.5,Rainy,
2024-05-16,00:30,Cow_8,11,0,4,27.5,Rainy,
2024-05-16,00:30,Cow_9,15,0,0,27.5,Rainy,
2024-05-16,00:30,Cow_10,12,0,3,27.5,Rainy,
2024-05-16,00:45,Cow_1,2,7,6,33.1,Cloudy,
2024-05-16,00:45,Cow_2,5,1,9,33.1,Cloudy,
2024-05-16,00:45,Cow_3,4,8,3,33.1,Cloudy,
2024-05-16,00:45,Cow_4,3,0,12,33.1,Cloudy,
2024-05-16,00:45,Cow_5,15,0,0,33.1,Cloudy,
2024-05-16,00:45,Cow_6,11,2,2,33.1,Cloudy,
2024-05-16,00:45,Cow_7,5,5,5,33.1,Cloudy,
2024-05-16,00:45,Cow_8,3,8,4,33.1,Cloudy,
2024-05-16,00:45,Cow_9,2,11,2,33.1,Cloudy,
2024-05-16,00:45,Cow_10,15,0,0,33.1,Cloudy,
2024-05-16,01:00,Cow_1,6,1,8,33.1,Rainy,
2024-05-16,01:00,Cow_2,0,10,5,33.1,Rainy,
2024-05-16,01:00,Cow_3,12,1,2,33.1,Rainy,
