Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition
2022-09-28,00:00,Cow_1,10,3,2,0,27.3,Rainy
2022-09-28,00:00,Cow_2,10,1,4,0,27.3,Rainy
2022-09-28,00:00,Cow_3,11,0,5,0,27.3,Rainy
2022-09-28,00:00,Cow_4,14,0,4,0,27.3,Rainy
2022-09-28,00:00,Cow_5,8,1,6,0,27.3,Rainy
2022-09-28,00:00,Cow_6,10,0,6,0,27.3,Rainy
2022-09-28,00:00,Cow_7,8,1,6,0,27.3,Rainy
2022-09-28,00:00,Cow_8,11,0,6,0,27.3,Rainy
2022-09-28,00:00,Cow_9,11,0,5,0,27.3,Rainy
2022-09-28,00:00,Cow_10,8,1,6,0,27.3,Rainy
2022-09-28,00:15,Cow_1,11,0,4,0,25.6,Clear
2022-09-28,00:15,Cow_2,10,0,5,0,25.6,Clear
2022-09-28,00:15,Cow_3,10,0,6,0,25.6,Clear
2022-09-28,00:15,Cow_4,10,0,5,0,25.6,Clear
2022-09-28,00:15,Cow_5,10,0,5,0,25.6,Clear
2022-09-28,00:15,Cow_6,12,0,6,0,25.6,Clear
2022-09-28,00:15,Cow_7,0,0,0,15,25.6,Clear
2022-09-28,00:15,Cow_8,9,0,6,0,25.6,Clear
2022-09-28,00:15,Cow_9,11,0,4,0,25.6,Clear
2022-09-28,00:15,Cow_10,0,0,0,15,25.6,Clear
2022-09-28,00:30,Cow_1,0,0,0,15,32.4,Cloudy
2022-09-28,00:30,Cow_2,12,0,5,0,32.4,Cloudy
2022-09-28,00:30,Cow_3,10,1,4,0,32.4,Cloudy
2022-09-28,00:30,Cow_4,0,0,0,15,32.4,Cloudy
2022-09-28,00:30,Cow_5,8,2,5,0,32.4,Cloudy
2022-09-28,00:30,Cow_6,8,1,6,0,32.4,Cloudy
2022-09-28,00:30,Cow_7,9,2,4,0,32.4,Cloudy
2022-09-28,00:30,Cow_8,0,0,0,15,32.4,Cloudy
2022-09-28,00:30,Cow_9,9,0,6,0,32.4,Cloudy
2022-09-28,00:30,Cow_10,0,0,0,15,32.4,Cloudy
2022-09-28,00:45,Cow_1,12,0,4,0,26.0,Rainy
2022-09-28,00:45,Cow_2,8,1,6,0,26.0,Rainy
2022-09-28,00:45,Cow_3,9,4,2,0,26.0,Rainy
2022-09-28,00:45,Cow_4,10,0,5,0,26.0,Rainy
2022-09-28,00:45,Cow_5,11,0,4,0,26.0,Rainy
2022-09-28,00:45,Cow_6,9,0,6,0,26.0,Rainy
2022-09-28,00:45,Cow_7,9,2,4,0,26.0,Rainy
2022-09-28,00:45,Cow_8,12,0,6,0,26.0,Rainy
2022-09-28,00:45,Cow_9,8,2,5,0,26.0,Rainy
2022-09-28,00:45,Cow_10,12,0,5,0,26.0,Rainy
