Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition
2024-01-14,00:00,Cow_1,9,2,4,0,26.9,Cloudy
2024-01-14,00:00,Cow_2,12,0,5,0,26.9,Cloudy
2024-01-14,00:00,Cow_3,11,0,5,0,26.9,Cloudy
2024-01-14,00:00,Cow_4,12,0,6,0,26.9,Cloudy
2024-01-14,00:00,Cow_5,10,1,4,0,26.9,Cloudy
2024-01-14,00:00,Cow_6,9,0,6,0,26.9,Cloudy
2024-01-14,00:00,Cow_7,0,0,0,15,26.9,Cloudy
2024-01-14,00:00,Cow_8,9,1,5,0,26.9,Cloudy
2024-01-14,00:00,Cow_9,10,1,4,0,26.9,Cloudy
2024-01-14,00:00,Cow_10,8,3,4,0,26.9,Cloudy
2024-01-14,00:15,Cow_1,10,4,1,0,26.1,Rainy
2024-01-14,00:15,Cow_2,9,1,5,0,26.1,Rainy
2024-01-14,00:15,Cow_3,10,1,4,0,26.1,Rainy
2024-01-14,00:15,Cow_4,11,0,4,0,26.1,Rainy
2024-01-14,00:15,Cow_5,12,0,4,0,26.1,Rainy
2024-01-14,00:15,Cow_6,9,1,5,0,26.1,Rainy
2024-01-14,00:15,Cow_7,9,1,5,0,26.1,Rainy
2024-01-14,00:15,Cow_8,0,0,0,15,26.1,Rainy
2024-01-14,00:15,Cow_9,9,2,4,0,26.1,Rainy
2024-01-14,00:15,Cow_10,9,0,6,0,26.1,Rainy
2024-01-14,00:30,Cow_1,12,0,3,0,30.6,Clear
2024-01-14,00:30,Cow_2,8,3,4,0,30.6,Clear
2024-01-14,00:30,Cow_3,8,2,5,0,30.6,Clear
2024-01-14,00:30,Cow_4,11,0,4,0,30.6,Clear
2024-01-14,00:30,Cow_5,12,0,4,0,30.6,Clear
2024-01-14,00:30,Cow_6,11,0,5,0,30.6,Clear
2024-01-14,00:30,Cow_7,0,0,0,15,30.6,Clear
2024-01-14,00:30,Cow_8,10,0,5,0,30.6,Clear
2024-01-14,00:30,Cow_9,9,1,5,0,30.6,Clear
2024-01-14,00:30,Cow_10,10,0,6,0,30.6,Clear
2024-01-14,00:45,Cow_1,11,0,6,0,32.6,Clear
2024-01-14,00:45,Cow_2,11,0,6,0,32.6,Clear
2024-01-14,00:45,Cow_3,12,1,2,0,32.6,Clear
2024-01-14,00:45,Cow_4,9,0,6,0,32.6,Clear
2024-01-14,00:45,Cow_5,10,0,6,0,32.6,Clear
