Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition,Camera Field
2023-02-15,00:00,Cow_1,7,5,3,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_2,5,5,5,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_3,12,7,0,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_4,6,4,5,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_5,5,4,6,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_6,7,2,6,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_7,8,4,3,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_8,5,2,8,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_9,7,5,3,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_10,12,5,0,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_11,13,8,0,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_12,7,4,4,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_13,2,6,7,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_14,11,0,8,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_15,5,5,5,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_16,1,7,7,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_17,10,0,6,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_18,5,10,0,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_19,0,10,8,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_20,0,8,7,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_21,6,3,6,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_22,3,9,3,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_23,8,1,6,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_24,7,1,7,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_25,3,7,5,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_26,8,4,3,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_27,7,0,8,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_28,2,9,4,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_29,14,0,6,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_30,10,7,0,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_31,10,5,0,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_32,11,3,1,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_33,0,0,0,15,35.3,Clear,Field B
2023-02-15,00:00,Cow_34,13,6,0,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_35,0,0,0,15,35.3,Clear,Field B
2023-02-15,00:00,Cow_36,1,7,7,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_37,11,5,0,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_38,0,10,7,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_39,8,4,3,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_40,8,3,4,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_41,11,8,0,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_42,5,7,3,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_43,8,0,7,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_44,6,7,2,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_45,6,4,5,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_46,3,6,6,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_47,4,8,3,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_48,8,4,3,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_49,0,10,6,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_50,6,7,2,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_51,0,7,8,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_52,9,6,0,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_53,8,5,2,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_54,8,2,5,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_55,7,10,0,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_56,11,7,0,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_57,13,9,0,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_58,7,2,6,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_59,5,5,5,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_60,0,10,7,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_61,5,2,8,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_62,9,4,2,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_63,2,7,6,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_64,6,5,4,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_65,7,5,3,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_66,12,6,0,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_67,0,10,7,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_68,7,5,3,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_69,13,0,4,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_70,9,10,0,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_71,6,8,1,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_72,7,9,0,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_73,10,4,1,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_74,12,0,6,0,35.3,Clear,Field A
2023-02-15,00:00,Cow_75,4,4,7,0,35.3,Clear,Field B
2023-02-15,00:00,Cow_76,12,0,4,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_77,8,5,2,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_78,11,0,4,0,35.3,Clear,Field C
2023-02-15,00:00,Cow_79,8,7,0,0,35.3,Clear,Field B
