Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Temperature (°C),Weather Condition
2023-08-12,00:00,Cow_1,15,0,0,31.7,Clear
2023-08-12,00:00,Cow_2,5,9,1,31.7,Clear
2023-08-12,00:00,Cow_3,1,6,8,31.7,Clear
2023-08-12,00:00,Cow_4,11,4,0,31.7,Clear
2023-08-12,00:00,Cow_5,11,4,0,31.7,Clear
2023-08-12,00:00,Cow_6,5,7,3,31.7,Clear
2023-08-12,00:00,Cow_7,14,0,1,31.7,Clear
2023-08-12,00:00,Cow_8,6,7,2,31.7,Clear
2023-08-12,00:00,Cow_9,13,1,1,31.7,Clear
2023-08-12,00:00,Cow_10,1,3,11,31.7,Clear
2023-08-12,00:15,Cow_1,6,5,4,30.8,Cloudy
2023-08-12,00:15,Cow_2,0,5,10,30.8,Cloudy
2023-08-12,00:15,Cow_3,7,5,3,30.8,Cloudy
2023-08-12,00:15,Cow_4,4,3,8,30.8,Cloudy
2023-08-12,00:15,Cow_5,11,0,4,30.8,Cloudy
2023-08-12,00:15,Cow_6,8,1,6,30.8,Cloudy
2023-08-12,00:15,Cow_7,8,7,0,30.8,Cloudy
2023-08-12,00:15,Cow_8,2,4,9,30.8,Cloudy
2023-08-12,00:15,Cow_9,10,5,0,30.8,Cloudy
2023-08-12,00:15,Cow_10,2,6,7,30.8,Cloudy
2023-08-12,00:30,Cow_1,15,0,0,28.4,Clear
2023-08-12,00:30,Cow_2,9,1,5,28.4,Clear
2023-08-12,00:30,Cow_3,4,3,8,28.4,Clear
2023-08-12,00:30,Cow_4,14,0,1,28.4,Clear
2023-08-12,00:30,Cow_5,15,0,0,28.4,Clear
2023-08-12,00:30,Cow_6,5,5,5,28.4,Clear
2023-08-12,00:30,Cow_7,15,0,0,28.4,Clear
2023-08-12,00:30,Cow_8,13,1,1,28.4,Clear
2023-08-12,00:30,Cow_9,9,5,1,28.4,Clear
2023-08-12,00:30,Cow_10,13,1,1,28.4,Clear
2023-08-12,00:45,Cow_1,8,0,7,31.6,Clear
2023-08-12,00:45,Cow_2,7,4,4,31.6,Clear
2023-08-12,00:45,Cow_3,11,0,4,31.6,Clear
2023-08-12,00:45,Cow_4,11,2,2,31.6,Clear
2023-08-12,00:45,Cow_5,6,6,3,31.6,Clear
2023-08-12,00:45,Cow_6,14,0,1,31.6,Clear
2023-08-12,00:45,Cow_7,8,4,3,31.6,Clear
2023-08-12,00:45,Cow_8,13,0,2,31.6,Clear
2023-08-12,00:45,Cow_9,4,11,0,31.6,Clear
2023-08-12,00:45,Cow_10,15,0,0,31.6,Clear
2023-08-12,01:00,Cow_1,8,6,1,28.6,Rainy
2023-08-12,01:00,Cow_2,6,8,1,28.6,Rainy
2023-08-12,01:00,Cow_3,4,10,1,28.6,Rainy
2023-08-12,01:00,Cow_4,12,3,0,28.6,Rainy
2023-08-12,01:00,Cow_5,13,0,2,28.6,Rainy
2023-08-12,01:00,Cow_6,13,0,2,28.6,Rainy
2023-08-12,01:00,Cow_7,8,2,5,28.6,Rainy
2023-08-12,01:00,Cow_8,7,2,6,28.6,Rainy
2023-08-12,01:00,Cow_9,15,0,0,28.6,Rainy
2023-08-12,01:00,Cow_10,11,0,4,28.6,Rainy
2023-08-12,01:15,Cow_1,7,4,4,33.8,Cloudy
2023-08-12,01:15,Cow_2,8,5,2,33.8,Cloudy
2023-08-12,01:15,Cow_3,2,9,4,33.8,Cloudy
2023-08-12,01:15,Cow_4,9,1,5,33.8,Cloudy
2023-08-12,01:15,Cow_5,4,4,7,33.8,Cloudy
2023-08-12,01:15,Cow_6,8,0,7,33.8,Cloudy
2023-08-12,01:15,Cow_7,6,9,0,33.8,Cloudy
