Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition,Camera Field
2021-09-30,00:00,Cow_1,11,0,4,0,25.8,Cloudy,Field C
2021-09-30,00:00,Cow_2,12,0,6,0,25.8,Cloudy,Field A
2021-09-30,00:00,Cow_3,12,0,5,0,25.8,Cloudy,Field A
2021-09-30,00:00,Cow_4,0,0,0,15,25.8,Cloudy,Field C
2021-09-30,00:00,Cow_5,12,0,5,0,25.8,Cloudy,Field B
2021-09-30,00:00,Cow_6,12,0,6,0,25.8,Cloudy,Field A
2021-09-30,00:00,Cow_7,9,1,5,0,25.8,Cloudy,Field B
2021-09-30,00:00,Cow_8,9,1,5,0,25.8,Cloudy,Field C
2021-09-30,00:00,Cow_9,11,0,4,0,25.8,Cloudy,Field A
2021-09-30,00:00,Cow_10,10,0,5,0,25.8,Cloudy,Field C
2021-09-30,00:15,Cow_1,8,1,6,0,28.6,Rainy,Field C
2021-09-30,00:15,Cow_2,8,1,6,0,28.6,Rainy,Field C
2021-09-30,00:15,Cow_3,10,0,5,0,28.6,Rainy,Field B
2021-09-30,00:15,Cow_4,11,0,6,0,28.6,Rainy,Field C
2021-09-30,00:15,Cow_5,11,0,4,0,28.6,Rainy,Field A
2021-09-30,00:15,Cow_6,8,1,6,0,28.6,Rainy,Field C
2021-09-30,00:15,Cow_7,11,0,5,0,28.6,Rainy,Field B
2021-09-30,00:15,Cow_8,9,1,5,0,28.6,Rainy,Field B
2021-09-30,00:15,Cow_9,12,0,5,0,28.6,Rainy,Field C
2021-09-30,00:15,Cow_10,8,3,4,0,28.6,Rainy,Field B
2021-09-30,00:30,Cow_1,9,1,5,0,25.7,Sunny,Field B
2021-09-30,00:30,Cow_2,9,2,4,0,25.7,Sunny,Field C
2021-09-30,00:30,Cow_3,8,2,5,0,25.7,Sunny,Field A
2021-09-30,00:30,Cow_4,8,3,4,0,25.7,Sunny,Field A
2021-09-30,00:30,Cow_5,12,0,6,0,25.7,Sunny,Field A
2021-09-30,00:30,Cow_6,12,0,4,0,25.7,Sunny,Field C
2021-09-30,00:30,Cow_7,9,0,6,0,25.7,Sunny,Field A
2021-09-30,00:30,Cow_8,12,0,5,0,25.7,Sunny,Field A
2021-09-30,00:30,Cow_9,8,3,4,0,25.7,Sunny,Field C
2021-09-30,00:30,Cow_10,9,2,4,0,25.7,Sunny,Field B
2021-09-30,00:45,Cow_1,9,2,4,0,26.5,Clear,Field A
2021-09-30,00:45,Cow_2,10,0,5,0,26.5,Clear,Field C
2021-09-30,00:45,Cow_3,10,0,5,0,26.5,Clear,Field B
2021-09-30,00:45,Cow_4,10,0,6,0,26.5,Clear,Field B
2021-09-30,00:45,Cow_5,12,0,6,0,26.5,Clear,Field C
2021-09-30,00:45,Cow_6,8,1,6,0,26.5,Clear,Field B
2021-09-30,00:45,Cow_7,11,0,4,0,26.5,Clear,Field A
2021-09-30,00:45,Cow_8,11,0,6,0,26.5,Clear,Field B
2021-09-30,00:45,Cow_9,10,1,4,0,26.5,Clear,Field C
2021-09-30,00:45,Cow_10,8,1,6,0,26.5,Clear,Field A
2021-09-30,01:00,Cow_1,0,0,0,15,34.9,Cloudy,Field C
2021-09-30,01:00,Cow_2,8,3,4,0,34.9,Cloudy,Field C
2021-09-30,01:00,Cow_3,11,0,5,0,34.9,Cloudy,Field A
2021-09-30,01:00,Cow_4,9,2,4,0,34.9,Cloudy,Field A
2021-09-30,01:00,Cow_5,10,0,5,0,34.9,Cloudy,Field C
2021-09-30,01:00,Cow_6,9,0,6,0,34.9,Cloudy,Field B
2021-09-30,01:00,Cow_7,9,0,6,0,34.9,Cloudy,Field A
2021-09-30,01:00,Cow_8,9,1,5,0,34.9,Cloudy,Field A
2021-09-30,01:00,Cow_9,0,0,0,15,34.9,Cloudy,Field C
2021-09-30,01:00,Cow_10,8,2,5,0,34.9,Cloudy,Field A
2021-09-30,01:15,Cow_1,8,1,6,0,28.9,Clear,Field B
2021-09-30,01:15,Cow_2,12,0,6,0,28.9,Clear,Field C
2021-09-30,01:15,Cow_3,0,0,0,15,28.9,Clear,Field C
2021-09-30,01:15,Cow_4,9,0,6,0,28.9,Clear,Field C
2021-09-30,01:15,Cow_5,8,3,4,0,28.9,Clear,Field C
2021-09-30,01:15,Cow_6,0,0,0,15,28.9,Clear,Field B
2021-09-30,01:15,Cow_7,11,0,5,0,28.9,Clear,Field A
