Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Temperature (°C),Weather Condition
2023-08-19,00:00,Cow_1,8,7,0,34.6,Clear
2023-08-19,00:00,Cow_2,6,7,2,34.6,Clear
2023-08-19,00:00,Cow_3,8,6,1,34.6,Clear
2023-08-19,00:00,Cow_4,3,0,12,34.6,Clear
2023-08-19,00:00,Cow_5,4,0,11,34.6,Clear
2023-08-19,00:00,Cow_6,2,9,4,34.6,Clear
2023-08-19,00:00,Cow_7,6,2,7,34.6,Clear
2023-08-19,00:00,Cow_8,1,7,7,34.6,Clear
2023-08-19,00:00,Cow_9,12,0,3,34.6,Clear
2023-08-19,00:00,Cow_10,12,3,0,34.6,Clear
2023-08-19,00:15,Cow_1,9,3,3,27.1,Rainy
2023-08-19,00:15,Cow_2,2,2,11,27.1,Rainy
2023-08-19,00:15,Cow_3,8,5,2,27.1,Rainy
2023-08-19,00:15,Cow_4,0,8,7,27.1,Rainy
2023-08-19,00:15,Cow_5,0,0,15,27.1,Rainy
2023-08-19,00:15,Cow_6,14,0,1,27.1,Rainy
2023-08-19,00:15,Cow_7,1,13,1,27.1,Rainy
2023-08-19,00:15,Cow_8,10,4,1,27.1,Rainy
2023-08-19,00:15,Cow_9,7,1,7,27.1,Rainy
2023-08-19,00:15,Cow_10,3,2,10,27.1,Rainy
2023-08-19,00:30,Cow_1,13,0,2,32.3,Clear
2023-08-19,00:30,Cow_2,11,0,4,32.3,Clear
2023-08-19,00:30,Cow_3,8,3,4,32.3,Clear
2023-08-19,00:30,Cow_4,5,2,8,32.3,Clear
2023-08-19,00:30,Cow_5,3,7,5,32.3,Clear
2023-08-19,00:30,Cow_6,9,5,1,32.3,Clear
2023-08-19,00:30,Cow_7,5,7,3,32.3,Clear
2023-08-19,00:30,Cow_8,13,0,2,32.3,Clear
2023-08-19,00:30,Cow_9,8,0,7,32.3,Clear
2023-08-19,00:30,Cow_10,15,0,0,32.3,Clear
2023-08-19,00:45,Cow_1,1,12,2,26.0,Clear
2023-08-19,00:45,Cow_2,4,10,1,26.0,Clear
2023-08-19,00:45,Cow_3,7,5,3,26.0,Clear
2023-08-19,00:45,Cow_4,7,0,8,26.0,Clear
2023-08-19,00:45,Cow_5,1,7,7,26.0,Clear
2023-08-19,00:45,Cow_6,3,12,0,26.0,Clear
2023-08-19,00:45,Cow_7,6,6,3,26.0,Clear
2023-08-19,00:45,Cow_8,13,2,0,26.0,Clear
2023-08-19,00:45,Cow_9,8,1,6,26.0,Clear
2023-08-19,00:45,Cow_10,10,2,3,26.0,Clear
2023-08-19,01:00,Cow_1,7,4,4,33.8,Cloudy
2023-08-19,01:00,Cow_2,0,7,8,33.8,Cloudy
2023-08-19,01:00,Cow_3,8,0,7,33.8,Cloudy
2023-08-19,01:00,Cow_4,5,3,7,33.8,Cloudy
2023-08-19,01:00,Cow_5,6,3,6,33.8,Cloudy
2023-08-19,01:00,Cow_6,12,1,2,33.8,Cloudy
2023-08-19,01:00,Cow_7,14,0,1,33.8,Cloudy
2023-08-19,01:00,Cow_8,5,2,8,33.8,Cloudy
2023-08-19,01:00,Cow_9,8,2,5,33.8,Cloudy
2023-08-19,01:00,Cow_10,8,4,3,33.8,Cloudy
2023-08-19,01:15,Cow_1,2,12,1,27.5,Rainy
2023-08-19,01:15,Cow_2,10,0,5,27.5,Rainy
2023-08-19,01:15,Cow_3,3,11,1,27.5,Rainy
2023-08-19,01:15,Cow_4,4,6,5,27.5,Rainy
2023-08-19,01:15,Cow_5,12,1,2,27.5,Rainy
2023-08-19,01:15,Cow_6,12,0,3,27.5,Rainy
2023-08-19,01:15,Cow_7,15,0,0,27.5,Rainy
2023-08-19,01:15,Cow_8,2,11,2,27.5,Rainy
2023-08-19,01:15,Cow_9,14,1,0,27.5,Rainy
2023-08-19,01:15,Cow_10,9,2,4,27.5,Rainy
2023-08-19,01:30,Cow_1,5,7,3,34.4,Rainy
2023-08-19,01:30,Cow_2,8,6,1,34.4,Rainy
2023-08-19,01:30,Cow_3,7,6,2,34.4,Rainy
2023-08-19,01:30,Cow_4,5,2,8,34.4,Rainy
2023-08-19,01:30,Cow_5,15,0,0,34.4,Rainy
2023-08-19,01:30,Cow_6,15,0,0,34.4,Rainy
2023-08-19,01:30,Cow_7,5,8,2,34.4,Rainy
2023-08-19,01:30,Cow_8,2,12,1,34.4,Rainy
2023-08-19,01:30,Cow_9,1,7,7,34.4,Rainy
2023-08-19,01:30,Cow_10,9,2,4,34.4,Rainy
2023-08-19,01:45,Cow_1,3,5,7,34.3,Sunny
2023-08-19,01:45,Cow_2,9,5,1,34.3,Sunny
2023-08-19,01:45,Cow_3,5,5,5,34.3,Sunny
2023-08-19,01:45,Cow_4,4,7,4,34.3,Sunny
2023-08-19,01:45,Cow_5,14,0,1,34.3,Sunny
2023-08-19,01:45,Cow_6,10,5,0,34.3,Sunny
2023-08-19,01:45,Cow_7,1,2,12,34.3,Sunny
2023-08-19,01:45,Cow_8,10,0,5,34.3,Sunny
2023-08-19,01:45,Cow_9,5,4,6,34.3,Sunny
2023-08-19,01:45,Cow_10,0,14,1,34.3,Sunny
2023-08-19,02:00,Cow_1,12,3,0,26.5,Cloudy
2023-08-19,02:00,Cow_2,0,6,9,26.5,Cloudy
2023-08-19,02:00,Cow_3,12,2,1,26.5,Cloudy
2023-08-19,02:00,Cow_4,6,0,9,26.5,Cloudy
2023-08-19,02:00,Cow_5,10,0,5,26.5,Cloudy
2023-08-19,02:00,Cow_6,9,5,1,26.5,Cloudy
2023-08-19,02:00,Cow_7,9,4,2,26.5,Cloudy
2023-08-19,02:00,Cow_8,3,0,12,26.5,Cloudy
2023-08-19,02:00,Cow_9,15,0,0,26.5,Cloudy
2023-08-19,02:00,Cow_10,12,3,0,26.5,Cloudy
2023-08-19,02:15,Cow_1,13,1,1,29.0,Cloudy
2023-08-19,02:15,Cow_2,11,1,3,29.0,Cloudy
2023-08-19,02:15,Cow_3,11,4,0,29.0,Cloudy
2023-08-19,02:15,Cow_4,4,8,3,29.0,Cloudy
2023-08-19,02:15,Cow_5,4,2,9,29.0,Cloudy
2023-08-19,02:15,Cow_6,12,2,1,29.0,Cloudy
2023-08-19,02:15,Cow_7,6,1,8,29.0,Cloudy
2023-08-19,02:15,Cow_8,1,2,12,29.0,Cloudy
2023-08-19,02:15,Cow_9,5,5,5,29.0,Cloudy
2023-08-19,02:15,Cow_10,6,8,1,29.0,Cloudy
2023-08-19,02:30,Cow_1,10,0,5,28.3,Cloudy
2023-08-19,02:30,Cow_2,9,0,6,28.3,Cloudy
2023-08-19,02:30,Cow_3,9,5,1,28.3,Cloudy
2023-08-19,02:30,Cow_4,5,9,1,28.3,Cloudy
2023-08-19,02:30,Cow_5,14,0,1,28.3,Cloudy
2023-08-19,02:30,Cow_6,7,2,6,28.3,Cloudy
2023-08-19,02:30,Cow_7,1,9,5,28.3,Cloudy
2023-08-19,02:30,Cow_8,3,0,12,28.3,Cloudy
2023-08-19,02:30,Cow_9,3,0,12,28.3,Cloudy
2023-08-19,02:30,Cow_10,0,7,8,28.3,Cloudy
2023-08-19,02:45,Cow_1,8,2,5,30.1,Cloudy
2023-08-19,02:45,Cow_2,3,8,4,30.1,Cloudy
2023-08-19,02:45,Cow_3,8,0,7,30.1,Cloudy
2023-08-19,02:45,Cow_4,15,0,0,30.1,Cloudy
2023-08-19,02:45,Cow_5,11,4,0,30.1,Cloudy
2023-08-19,02:45,Cow_6,3,10,2,30.1,Cloudy
2023-08-19,02:45,Cow_7,11,4,0,30.1,Cloudy
2023-08-19,02:45,Cow_8,11,3,1,30.1,Cloudy
2023-08-19,02:45,Cow_9,2,7,6,30.1,Cloudy
2023-08-19,02:45,Cow_10,6,2,7,30.1,Cloudy
2023-08-19,03:00,Cow_1,3,5,7,25.9,Cloudy
2023-08-19,03:00,Cow_2,3,8,4,25.9,Cloudy
2023-08-19,03:00,Cow_3,12,0,3,25.9,Cloudy
2023-08-19,03:00,Cow_4,10,3,2,25.9,Cloudy
2023-08-19,03:00,Cow_5,1,0,14,25.9,Cloudy
2023-08-19,03:00,Cow_6,3,0,12,25.9,Cloudy
2023-08-19,03:00,Cow_7,13,2,0,25.9,Cloudy
