Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Temperature (°C),Weather Condition
2024-04-11,00:00,Cow_1,7,5,3,29.0,Cloudy
2024-04-11,00:00,Cow_2,10,1,4,29.0,Cloudy
2024-04-11,00:00,Cow_3,8,6,1,29.0,Cloudy
2024-04-11,00:00,Cow_4,14,1,0,29.0,Cloudy
2024-04-11,00:00,Cow_5,5,5,5,29.0,Cloudy
2024-04-11,00:00,Cow_6,2,12,1,29.0,Cloudy
2024-04-11,00:00,Cow_7,6,5,4,29.0,Cloudy
2024-04-11,00:00,Cow_8,6,8,1,29.0,Cloudy
2024-04-11,00:00,Cow_9,2,5,8,29.0,Cloudy
2024-04-11,00:00,Cow_10,2,2,11,29.0,Cloudy
2024-04-11,00:15,Cow_1,10,4,1,30.1,Sunny
2024-04-11,00:15,Cow_2,14,0,1,30.1,Sunny
2024-04-11,00:15,Cow_3,10,2,3,30.1,Sunny
2024-04-11,00:15,Cow_4,8,4,3,30.1,Sunny
2024-04-11,00:15,Cow_5,8,4,3,30.1,Sunny
2024-04-11,00:15,Cow_6,14,0,1,30.1,Sunny
2024-04-11,00:15,Cow_7,12,0,3,30.1,Sunny
2024-04-11,00:15,Cow_8,2,4,9,30.1,Sunny
2024-04-11,00:15,Cow_9,7,8,0,30.1,Sunny
2024-04-11,00:15,Cow_10,2,2,11,30.1,Sunny
2024-04-11,00:30,Cow_1,10,2,3,28.2,Clear
2024-04-11,00:30,Cow_2,0,10,5,28.2,Clear
2024-04-11,00:30,Cow_3,2,2,11,28.2,Clear
2024-04-11,00:30,Cow_4,9,0,6,28.2,Clear
2024-04-11,00:30,Cow_5,2,10,3,28.2,Clear
2024-04-11,00:30,Cow_6,0,0,15,28.2,Clear
2024-04-11,00:30,Cow_7,3,4,8,28.2,Clear
2024-04-11,00:30,Cow_8,1,9,5,28.2,Clear
2024-04-11,00:30,Cow_9,11,0,4,28.2,Clear
2024-04-11,00:30,Cow_10,13,1,1,28.2,Clear
2024-04-11,00:45,Cow_1,2,5,8,26.3,Rainy
2024-04-11,00:45,Cow_2,13,1,1,26.3,Rainy
2024-04-11,00:45,Cow_3,9,4,2,26.3,Rainy
2024-04-11,00:45,Cow_4,10,4,1,26.3,Rainy
2024-04-11,00:45,Cow_5,2,1,12,26.3,Rainy
2024-04-11,00:45,Cow_6,7,8,0,26.3,Rainy
2024-04-11,00:45,Cow_7,6,3,6,26.3,Rainy
2024-04-11,00:45,Cow_8,7,8,0,26.3,Rainy
2024-04-11,00:45,Cow_9,7,1,7,26.3,Rainy
2024-04-11,00:45,Cow_10,9,6,0,26.3,Rainy
2024-04-11,01:00,Cow_1,4,5,6,28.7,Clear
2024-04-11,01:00,Cow_2,3,12,0,28.7,Clear
2024-04-11,01:00,Cow_3,0,6,9,28.7,Clear
2024-04-11,01:00,Cow_4,8,1,6,28.7,Clear
2024-04-11,01:00,Cow_5,8,5,2,28.7,Clear
2024-04-11,01:00,Cow_6,15,0,0,28.7,Clear
2024-04-11,01:00,Cow_7,0,15,0,28.7,Clear
2024-04-11,01:00,Cow_8,12,0,3,28.7,Clear
2024-04-11,01:00,Cow_9,4,9,2,28.7,Clear
2024-04-11,01:00,Cow_10,6,3,6,28.7,Clear
2024-04-11,01:15,Cow_1,0,7,8,33.6,Rainy
2024-04-11,01:15,Cow_2,2,9,4,33.6,Rainy
2024-04-11,01:15,Cow_3,15,0,0,33.6,Rainy
2024-04-11,01:15,Cow_4,13,1,1,33.6,Rainy
2024-04-11,01:15,Cow_5,1,10,4,33.6,Rainy
2024-04-11,01:15,Cow_6,2,7,6,33.6,Rainy
2024-04-11,01:15,Cow_7,2,0,13,33.6,Rainy
2024-04-11,01:15,Cow_8,2,12,1,33.6,Rainy
2024-04-11,01:15,Cow_9,4,3,8,33.6,Rainy
2024-04-11,01:15,Cow_10,10,4,1,33.6,Rainy
2024-04-11,01:30,Cow_1,4,3,8,30.6,Sunny
2024-04-11,01:30,Cow_2,4,4,7,30.6,Sunny
2024-04-11,01:30,Cow_3,6,4,5,30.6,Sunny
2024-04-11,01:30,Cow_4,15,0,0,30.6,Sunny
2024-04-11,01:30,Cow_5,6,0,9,30.6,Sunny
2024-04-11,01:30,Cow_6,4,3,8,30.6,Sunny
2024-04-11,01:30,Cow_7,3,2,10,30.6,Sunny
2024-04-11,01:30,Cow_8,5,8,2,30.6,Sunny
2024-04-11,01:30,Cow_9,0,7,8,30.6,Sunny
2024-04-11,01:30,Cow_10,2,1,12,30.6,Sunny
2024-04-11,01:45,Cow_1,15,0,0,33.6,Sunny
2024-04-11,01:45,Cow_2,5,7,3,33.6,Sunny
2024-04-11,01:45,Cow_3,12,3,0,33.6,Sunny
2024-04-11,01:45,Cow_4,13,1,1,33.6,Sunny
2024-04-11,01:45,Cow_5,7,3,5,33.6,Sunny
2024-04-11,01:45,Cow_6,4,4,7,33.6,Sunny
2024-04-11,01:45,Cow_7,15,0,0,33.6,Sunny
2024-04-11,01:45,Cow_8,15,0,0,33.6,Sunny
2024-04-11,01:45,Cow_9,15,0,0,33.6,Sunny
2024-04-11,01:45,Cow_10,13,2,0,33.6,Sunny
2024-04-11,02:00,Cow_1,11,1,3,26.8,Sunny
2024-04-11,02:00,Cow_2,11,0,4,26.8,Sunny
2024-04-11,02:00,Cow_3,0,14,1,26.8,Sunny
2024-04-11,02:00,Cow_4,0,0,15,26.8,Sunny
2024-04-11,02:00,Cow_5,12,0,3,26.8,Sunny
2024-04-11,02:00,Cow_6,13,1,1,26.8,Sunny
2024-04-11,02:00,Cow_7,11,4,0,26.8,Sunny
2024-04-11,02:00,Cow_8,5,10,0,26.8,Sunny
2024-04-11,02:00,Cow_9,11,4,0,26.8,Sunny
2024-04-11,02:00,Cow_10,10,5,0,26.8,Sunny
2024-04-11,02:15,Cow_1,10,5,0,25.8,Clear
2024-04-11,02:15,Cow_2,14,0,1,25.8,Clear
2024-04-11,02:15,Cow_3,9,0,6,25.8,Clear
2024-04-11,02:15,Cow_4,6,7,2,25.8,Clear
2024-04-11,02:15,Cow_5,12,2,1,25.8,Clear
2024-04-11,02:15,Cow_6,13,1,1,25.8,Clear
2024-04-11,02:15,Cow_7,13,2,0,25.8,Clear
2024-04-11,02:15,Cow_8,3,2,10,25.8,Clear
2024-04-11,02:15,Cow_9,5,9,1,25.8,Clear
2024-04-11,02:15,Cow_10,14,1,0,25.8,Clear
2024-04-11,02:30,Cow_1,6,6,3,31.6,Sunny
2024-04-11,02:30,Cow_2,5,4,6,31.6,Sunny
2024-04-11,02:30,Cow_3,4,11,0,31.6,Sunny
