Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Temperature (°C),Weather Condition,Notes
2022-12-13,00:00,Cow_1,6,1,8,25.3,Sunny,
2022-12-13,00:00,Cow_2,12,2,1,25.3,Sunny,
2022-12-13,00:00,Cow_3,3,9,3,25.3,Sunny,
2022-12-13,00:00,Cow_4,7,1,7,25.3,Sunny,
2022-12-13,00:00,Cow_5,4,7,4,25.3,Sunny,
2022-12-13,00:00,Cow_6,7,3,5,25.3,Sunny,
2022-12-13,00:00,Cow_7,12,0,3,25.3,Sunny,
2022-12-13,00:00,Cow_8,8,6,1,25.3,Sunny,
2022-12-13,00:00,Cow_9,9,1,5,25.3,Sunny,
2022-12-13,00:00,Cow_10,11,4,0,25.3,Sunny,
2022-12-13,00:15,Cow_1,1,11,3,33.0,Cloudy,
2022-12-13,00:15,Cow_2,7,2,6,33.0,Cloudy,
2022-12-13,00:15,Cow_3,3,7,5,33.0,Cloudy,
2022-12-13,00:15,Cow_4,11,0,4,33.0,Cloudy,
2022-12-13,00:15,Cow_5,14,1,0,33.0,Cloudy,
2022-12-13,00:15,Cow_6,15,0,0,33.0,Cloudy,
2022-12-13,00:15,Cow_7,6,6,3,33.0,Cloudy,
2022-12-13,00:15,Cow_8,15,0,0,33.0,Cloudy,
2022-12-13,00:15,Cow_9,2,7,6,33.0,Cloudy,
2022-12-13,00:15,Cow_10,15,0,0,33.0,Cloudy,
2022-12-13,00:30,Cow_1,11,1,3,32.9,Clear,
2022-12-13,00:30,Cow_2,10,4,1,32.9,Clear,
2022-12-13,00:30,Cow_3,7,8,0,32.9,Clear,
2022-12-13,00:30,Cow_4,14,0,1,32.9,Clear,
2022-12-13,00:30,Cow_5,13,2,0,32.9,Clear,
2022-12-13,00:30,Cow_6,7,0,8,32.9,Clear,
2022-12-13,00:30,Cow_7,7,7,1,32.9,Clear,
2022-12-13,00:30,Cow_8,0,3,12,32.9,Clear,
2022-12-13,00:30,Cow_9,11,2,2,32.9,Clear,
2022-12-13,00:30,Cow_10,9,1,5,32.9,Clear,
2022-12-13,00:45,Cow_1,1,3,11,33.4,Cloudy,
2022-12-13,00:45,Cow_2,7,3,5,33.4,Cloudy,
2022-12-13,00:45,Cow_3,11,3,1,33.4,Cloudy,
2022-12-13,00:45,Cow_4,10,4,1,33.4,Cloudy,
2022-12-13,00:45,Cow_5,7,7,1,33.4,Cloudy,
2022-12-13,00:45,Cow_6,8,1,6,33.4,Cloudy,
2022-12-13,00:45,Cow_7,0,7,8,33.4,Cloudy,
2022-12-13,00:45,Cow_8,10,0,5,33.4,Cloudy,
2022-12-13,00:45,Cow_9,6,3,6,33.4,Cloudy,
2022-12-13,00:45,Cow_10,10,5,0,33.4,Cloudy,
2022-12-13,01:00,Cow_1,7,3,5,26.0,Rainy,
2022-12-13,01:00,Cow_2,9,1,5,26.0,Rainy,
2022-12-13,01:00,Cow_3,9,1,5,26.0,Rainy,
2022-12-13,01:00,Cow_4,9,3,3,26.0,Rainy,
2022-12-13,01:00,Cow_5,12,1,2,26.0,Rainy,
2022-12-13,01:00,Cow_6,7,4,4,26.0,Rainy,
2022-12-13,01:00,Cow_7,6,6,3,26.0,Rainy,
2022-12-13,01:00,Cow_8,3,6,6,26.0,Rainy,
2022-12-13,01:00,Cow_9,1,1,13,26.0,Rainy,
2022-12-13,01:00,Cow_10,5,1,9,26.0,Rainy,
2022-12-13,01:15,Cow_1,12,1,2,30.3,Rainy,
2022-12-13,01:15,Cow_2,7,8,0,30.3,Rainy,
2022-12-13,01:15,Cow_3,5,0,10,30.3,Rainy,
2022-12-13,01:15,Cow_4,9,6,0,30.3,Rainy,
2022-12-13,01:15,Cow_5,4,6,5,30.3,Rainy,
2022-12-13,01:15,Cow_6,12,2,1,30.3,Rainy,
2022-12-13,01:15,Cow_7,3,4,8,30.3,Rainy,
2022-12-13,01:15,Cow_8,12,3,0,30.3,Rainy,
2022-12-13,01:15,Cow_9,8,1,6,30.3,Rainy,
2022-12-13,01:15,Cow_10,12,3,0,30.3,Rainy,
2022-12-13,01:30,Cow_1,12,3,0,28.0,Clear,
2022-12-13,01:30,Cow_2,9,6,0,28.0,Clear,
2022-12-13,01:30,Cow_3,10,5,0,28.0,Clear,
2022-12-13,01:30,Cow_4,14,1,0,28.0,Clear,
2022-12-13,01:30,Cow_5,14,1,0,28.0,Clear,
2022-12-13,01:30,Cow_6,5,9,1,28.0,Clear,
2022-12-13,01:30,Cow_7,5,4,6,28.0,Clear,
2022-12-13,01:30,Cow_8,6,4,5,28.0,Clear,
2022-12-13,01:30,Cow_9,3,9,3,28.0,Clear,
2022-12-13,01:30,Cow_10,7,0,8,28.0,Clear,
2022-12-13,01:45,Cow_1,3,0,12,31.6,Sunny,
2022-12-13,01:45,Cow_2,11,2,2,31.6,Sunny,
2022-12-13,01:45,Cow_3,14,1,0,31.6,Sunny,
2022-12-13,01:45,Cow_4,4,7,4,31.6,Sunny,
2022-12-13,01:45,Cow_5,9,0,6,31.6,Sunny,
2022-12-13,01:45,Cow_6,15,0,0,31.6,Sunny,
2022-12-13,01:45,Cow_7,1,2,12,31.6,Sunny,
2022-12-13,01:45,Cow_8,1,14,0,31.6,Sunny,
2022-12-13,01:45,Cow_9,10,0,5,31.6,Sunny,
2022-12-13,01:45,Cow_10,15,0,0,31.6,Sunny,
2022-12-13,02:00,Cow_1,10,1,4,32.0,Sunny,
2022-12-13,02:00,Cow_2,2,10,3,32.0,Sunny,
2022-12-13,02:00,Cow_3,4,3,8,32.0,Sunny,
2022-12-13,02:00,Cow_4,10,1,4,32.0,Sunny,
2022-12-13,02:00,Cow_5,8,5,2,32.0,Sunny,
2022-12-13,02:00,Cow_6,5,10,0,32.0,Sunny,
2022-12-13,02:00,Cow_7,13,2,0,32.0,Sunny,
2022-12-13,02:00,Cow_8,12,2,1,32.0,Sunny,
2022-12-13,02:00,Cow_9,15,0,0,32.0,Sunny,
2022-12-13,02:00,Cow_10,12,1,2,32.0,Sunny,
2022-12-13,02:15,Cow_1,3,10,2,27.7,Clear,
2022-12-13,02:15,Cow_2,8,3,4,27.7,Clear,
2022-12-13,02:15,Cow_3,2,13,0,27.7,Clear,
2022-12-13,02:15,Cow_4,13,1,1,27.7,Clear,
2022-12-13,02:15,Cow_5,4,7,4,27.7,Clear,
2022-12-13,02:15,Cow_6,3,5,7,27.7,Clear,
2022-12-13,02:15,Cow_7,0,1,14,27.7,Clear,
2022-12-13,02:15,Cow_8,1,12,2,27.7,Clear,
2022-12-13,02:15,Cow_9,8,7,0,27.7,Clear,
2022-12-13,02:15,Cow_10,3,8,4,27.7,Clear,
2022-12-13,02:30,Cow_1,0,2,13,30.4,Cloudy,
2022-12-13,02:30,Cow_2,12,2,1,30.4,Cloudy,
2022-12-13,02:30,Cow_3,2,2,11,30.4,Cloudy,
2022-12-13,02:30,Cow_4,6,8,1,30.4,Cloudy,
2022-12-13,02:30,Cow_5,1,3,11,30.4,Cloudy,
2022-12-13,02:30,Cow_6,15,0,0,30.4,Cloudy,
2022-12-13,02:30,Cow_7,1,3,11,30.4,Cloudy,
2022-12-13,02:30,Cow_8,8,7,0,30.4,Cloudy,
2022-12-13,02:30,Cow_9,4,8,3,30.4,Cloudy,
2022-12-13,02:30,Cow_10,9,6,0,30.4,Cloudy,
2022-12-13,02:45,Cow_1,3,2,10,34.3,Sunny,
2022-12-13,02:45,Cow_2,1,12,2,34.3,Sunny,
2022-12-13,02:45,Cow_3,6,7,2,34.3,Sunny,
2022-12-13,02:45,Cow_4,13,0,2,34.3,Sunny,
2022-12-13,02:45,Cow_5,10,3,2,34.3,Sunny,
2022-12-13,02:45,Cow_6,12,1,2,34.3,Sunny,
2022-12-13,02:45,Cow_7,13,0,2,34.3,Sunny,
2022-12-13,02:45,Cow_8,6,2,7,34.3,Sunny,
2022-12-13,02:45,Cow_9,5,0,10,34.3,Sunny,
2022-12-13,02:45,Cow_10,13,0,2,34.3,Sunny,
2022-12-13,03:00,Cow_1,10,1,4,28.6,Cloudy,
2022-12-13,03:00,Cow_2,12,1,2,28.6,Cloudy,
2022-12-13,03:00,Cow_3,1,8,6,28.6,Cloudy,
2022-12-13,03:00,Cow_4,2,6,7,28.6,Cloudy,
2022-12-13,03:00,Cow_5,0,8,7,28.6,Cloudy,
2022-12-13,03:00,Cow_6,14,1,0,28.6,Cloudy,
2022-12-13,03:00,Cow_7,14,0,1,28.6,Cloudy,
2022-12-13,03:00,Cow_8,1,9,5,28.6,Cloudy,
2022-12-13,03:00,Cow_9,4,8,3,28.6,Cloudy,
2022-12-13,03:00,Cow_10,1,5,9,28.6,Cloudy,
2022-12-13,03:15,Cow_1,1,6,8,27.0,Cloudy,
2022-12-13,03:15,Cow_2,14,1,0,27.0,Cloudy,
2022-12-13,03:15,Cow_3,12,2,1,27.0,Cloudy,
2022-12-13,03:15,Cow_4,13,1,1,27.0,Cloudy,
2022-12-13,03:15,Cow_5,2,12,1,27.0,Cloudy,
2022-12-13,03:15,Cow_6,1,10,4,27.0,Cloudy,
2022-12-13,03:15,Cow_7,15,0,0,27.0,Cloudy,
2022-12-13,03:15,Cow_8,10,0,5,27.0,Cloudy,
2022-12-13,03:15,Cow_9,7,5,3,27.0,Cloudy,
2022-12-13,03:15,Cow_10,13,2,0,27.0,Cloudy,
2022-12-13,03:30,Cow_1,8,7,0,27.4,Cloudy,
2022-12-13,03:30,Cow_2,4,6,5,27.4,Cloudy,
2022-12-13,03:30,Cow_3,6,1,8,27.4,Cloudy,
2022-12-13,03:30,Cow_4,11,1,3,27.4,Cloudy,
2022-12-13,03:30,Cow_5,12,0,3,27.4,Cloudy,
2022-12-13,03:30,Cow_6,9,4,2,27.4,Cloudy,
2022-12-13,03:30,Cow_7,12,0,3,27.4,Cloudy,
2022-12-13,03:30,Cow_8,9,0,6,27.4,Cloudy,
2022-12-13,03:30,Cow_9,5,3,7,27.4,Cloudy,
2022-12-13,03:30,Cow_10,5,2,8,27.4,Cloudy,
2022-12-13,03:45,Cow_1,14,0,1,27.7,Sunny,
2022-12-13,03:45,Cow_2,0,4,11,27.7,Sunny,
2022-12-13,03:45,Cow_3,14,0,1,27.7,Sunny,
2022-12-13,03:45,Cow_4,2,0,13,27.7,Sunny,
2022-12-13,03:45,Cow_5,9,6,0,27.7,Sunny,
2022-12-13,03:45,Cow_6,8,0,7,27.7,Sunny,
2022-12-13,03:45,Cow_7,12,1,2,27.7,Sunny,
2022-12-13,03:45,Cow_8,8,5,2,27.7,Sunny,
2022-12-13,03:45,Cow_9,3,12,0,27.7,Sunny,
2022-12-13,03:45,Cow_10,3,12,0,27.7,Sunny,
2022-12-13,04:00,Cow_1,8,0,7,28.7,Clear,
2022-12-13,04:00,Cow_2,7,3,5,28.7,Clear,
2022-12-13,04:00,Cow_3,14,1,0,28.7,Clear,
