Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Temperature (°C),Weather Condition
2022-11-02,00:00,Cow_1,12,0,3,27.3,Rainy
2022-11-02,00:00,Cow_2,14,0,1,27.3,Rainy
2022-11-02,00:00,Cow_3,5,6,4,27.3,Rainy
2022-11-02,00:00,Cow_4,5,4,6,27.3,Rainy
2022-11-02,00:00,Cow_5,1,8,6,27.3,Rainy
2022-11-02,00:00,Cow_6,15,0,0,27.3,Rainy
2022-11-02,00:00,Cow_7,11,0,4,27.3,Rainy
2022-11-02,00:00,Cow_8,2,0,13,27.3,Rainy
2022-11-02,00:00,Cow_9,0,2,13,27.3,Rainy
2022-11-02,00:00,Cow_10,15,0,0,27.3,Rainy
2022-11-02,00:15,Cow_1,5,9,1,27.9,Sunny
2022-11-02,00:15,Cow_2,14,1,0,27.9,Sunny
2022-11-02,00:15,Cow_3,1,12,2,27.9,Sunny
2022-11-02,00:15,Cow_4,2,8,5,27.9,Sunny
2022-11-02,00:15,Cow_5,9,2,4,27.9,Sunny
2022-11-02,00:15,Cow_6,2,13,0,27.9,Sunny
2022-11-02,00:15,Cow_7,8,0,7,27.9,Sunny
2022-11-02,00:15,Cow_8,10,3,2,27.9,Sunny
2022-11-02,00:15,Cow_9,10,3,2,27.9,Sunny
2022-11-02,00:15,Cow_10,4,2,9,27.9,Sunny
2022-11-02,00:30,Cow_1,0,7,8,28.0,Cloudy
2022-11-02,00:30,Cow_2,12,1,2,28.0,Cloudy
2022-11-02,00:30,Cow_3,8,1,6,28.0,Cloudy
2022-11-02,00:30,Cow_4,12,0,3,28.0,Cloudy
2022-11-02,00:30,Cow_5,5,3,7,28.0,Cloudy
2022-11-02,00:30,Cow_6,11,2,2,28.0,Cloudy
2022-11-02,00:30,Cow_7,1,12,2,28.0,Cloudy
2022-11-02,00:30,Cow_8,10,4,1,28.0,Cloudy
2022-11-02,00:30,Cow_9,10,3,2,28.0,Cloudy
2022-11-02,00:30,Cow_10,7,1,7,28.0,Cloudy
2022-11-02,00:45,Cow_1,13,0,2,32.3,Cloudy
2022-11-02,00:45,Cow_2,15,0,0,32.3,Cloudy
2022-11-02,00:45,Cow_3,12,2,1,32.3,Cloudy
2022-11-02,00:45,Cow_4,5,7,3,32.3,Cloudy
2022-11-02,00:45,Cow_5,9,0,6,32.3,Cloudy
2022-11-02,00:45,Cow_6,2,0,13,32.3,Cloudy
2022-11-02,00:45,Cow_7,10,2,3,32.3,Cloudy
2022-11-02,00:45,Cow_8,10,1,4,32.3,Cloudy
2022-11-02,00:45,Cow_9,3,9,3,32.3,Cloudy
2022-11-02,00:45,Cow_10,5,7,3,32.3,Cloudy
2022-11-02,01:00,Cow_1,4,4,7,25.4,Cloudy
2022-11-02,01:00,Cow_2,0,2,13,25.4,Cloudy
2022-11-02,01:00,Cow_3,5,2,8,25.4,Cloudy
2022-11-02,01:00,Cow_4,8,3,4,25.4,Cloudy
2022-11-02,01:00,Cow_5,4,9,2,25.4,Cloudy
2022-11-02,01:00,Cow_6,6,9,0,25.4,Cloudy
2022-11-02,01:00,Cow_7,0,12,3,25.4,Cloudy
2022-11-02,01:00,Cow_8,2,7,6,25.4,Cloudy
2022-11-02,01:00,Cow_9,5,2,8,25.4,Cloudy
2022-11-02,01:00,Cow_10,5,2,8,25.4,Cloudy
2022-11-02,01:15,Cow_1,2,0,13,30.4,Cloudy
2022-11-02,01:15,Cow_2,14,0,1,30.4,Cloudy
2022-11-02,01:15,Cow_3,6,9,0,30.4,Cloudy
2022-11-02,01:15,Cow_4,11,1,3,30.4,Cloudy
2022-11-02,01:15,Cow_5,6,1,8,30.4,Cloudy
2022-11-02,01:15,Cow_6,2,3,10,30.4,Cloudy
2022-11-02,01:15,Cow_7,4,5,6,30.4,Cloudy
2022-11-02,01:15,Cow_8,15,0,0,30.4,Cloudy
2022-11-02,01:15,Cow_9,10,4,1,30.4,Cloudy
2022-11-02,01:15,Cow_10,11,0,4,30.4,Cloudy
2022-11-02,01:30,Cow_1,9,1,5,31.8,Rainy
2022-11-02,01:30,Cow_2,15,0,0,31.8,Rainy
2022-11-02,01:30,Cow_3,7,1,7,31.8,Rainy
2022-11-02,01:30,Cow_4,12,3,0,31.8,Rainy
2022-11-02,01:30,Cow_5,5,0,10,31.8,Rainy
2022-11-02,01:30,Cow_6,2,9,4,31.8,Rainy
2022-11-02,01:30,Cow_7,11,0,4,31.8,Rainy
2022-11-02,01:30,Cow_8,5,1,9,31.8,Rainy
2022-11-02,01:30,Cow_9,10,5,0,31.8,Rainy
2022-11-02,01:30,Cow_10,9,2,4,31.8,Rainy
2022-11-02,01:45,Cow_1,7,4,4,26.4,Sunny
2022-11-02,01:45,Cow_2,8,3,4,26.4,Sunny
2022-11-02,01:45,Cow_3,0,9,6,26.4,Sunny
2022-11-02,01:45,Cow_4,6,1,8,26.4,Sunny
2022-11-02,01:45,Cow_5,14,1,0,26.4,Sunny
2022-11-02,01:45,Cow_6,8,4,3,26.4,Sunny
2022-11-02,01:45,Cow_7,3,8,4,26.4,Sunny
2022-11-02,01:45,Cow_8,10,4,1,26.4,Sunny
2022-11-02,01:45,Cow_9,5,9,1,26.4,Sunny
