Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Temperature (°C),Weather Condition
2023-01-18,00:00,Cow_1,2,0,13,29.5,Sunny
2023-01-18,00:00,Cow_2,2,8,5,29.5,Sunny
2023-01-18,00:00,Cow_3,14,1,0,29.5,Sunny
2023-01-18,00:00,Cow_4,4,10,1,29.5,Sunny
2023-01-18,00:00,Cow_5,13,2,0,29.5,Sunny
2023-01-18,00:00,Cow_6,12,0,3,29.5,Sunny
2023-01-18,00:00,Cow_7,3,11,1,29.5,Sunny
2023-01-18,00:00,Cow_8,9,5,1,29.5,Sunny
2023-01-18,00:00,Cow_9,0,15,0,29.5,Sunny
2023-01-18,00:00,Cow_10,10,0,5,29.5,Sunny
2023-01-18,00:15,Cow_1,9,3,3,29.5,Cloudy
2023-01-18,00:15,Cow_2,8,6,1,29.5,Cloudy
2023-01-18,00:15,Cow_3,3,5,7,29.5,Cloudy
2023-01-18,00:15,Cow_4,14,1,0,29.5,Cloudy
2023-01-18,00:15,Cow_5,8,2,5,29.5,Cloudy
2023-01-18,00:15,Cow_6,6,8,1,29.5,Cloudy
2023-01-18,00:15,Cow_7,15,0,0,29.5,Cloudy
2023-01-18,00:15,Cow_8,6,2,7,29.5,Cloudy
2023-01-18,00:15,Cow_9,5,2,8,29.5,Cloudy
2023-01-18,00:15,Cow_10,2,4,9,29.5,Cloudy
2023-01-18,00:30,Cow_1,15,0,0,26.6,Rainy
2023-01-18,00:30,Cow_2,11,1,3,26.6,Rainy
2023-01-18,00:30,Cow_3,14,0,1,26.6,Rainy
2023-01-18,00:30,Cow_4,0,13,2,26.6,Rainy
2023-01-18,00:30,Cow_5,11,3,1,26.6,Rainy
2023-01-18,00:30,Cow_6,12,1,2,26.6,Rainy
2023-01-18,00:30,Cow_7,3,12,0,26.6,Rainy
2023-01-18,00:30,Cow_8,5,6,4,26.6,Rainy
2023-01-18,00:30,Cow_9,12,1,2,26.6,Rainy
2023-01-18,00:30,Cow_10,8,5,2,26.6,Rainy
2023-01-18,00:45,Cow_1,7,1,7,25.0,Cloudy
2023-01-18,00:45,Cow_2,2,1,12,25.0,Cloudy
2023-01-18,00:45,Cow_3,5,8,2,25.0,Cloudy
2023-01-18,00:45,Cow_4,6,2,7,25.0,Cloudy
2023-01-18,00:45,Cow_5,7,1,7,25.0,Cloudy
2023-01-18,00:45,Cow_6,5,4,6,25.0,Cloudy
2023-01-18,00:45,Cow_7,4,1,10,25.0,Cloudy
2023-01-18,00:45,Cow_8,15,0,0,25.0,Cloudy
2023-01-18,00:45,Cow_9,4,11,0,25.0,Cloudy
2023-01-18,00:45,Cow_10,4,1,10,25.0,Cloudy
2023-01-18,01:00,Cow_1,13,0,2,28.0,Clear
2023-01-18,01:00,Cow_2,7,1,7,28.0,Clear
2023-01-18,01:00,Cow_3,5,3,7,28.0,Clear
2023-01-18,01:00,Cow_4,1,2,12,28.0,Clear
2023-01-18,01:00,Cow_5,14,1,0,28.0,Clear
2023-01-18,01:00,Cow_6,11,3,1,28.0,Clear
2023-01-18,01:00,Cow_7,4,10,1,28.0,Clear
2023-01-18,01:00,Cow_8,14,1,0,28.0,Clear
2023-01-18,01:00,Cow_9,8,2,5,28.0,Clear
2023-01-18,01:00,Cow_10,5,3,7,28.0,Clear
2023-01-18,01:15,Cow_1,4,9,2,29.7,Rainy
2023-01-18,01:15,Cow_2,2,1,12,29.7,Rainy
2023-01-18,01:15,Cow_3,13,2,0,29.7,Rainy
2023-01-18,01:15,Cow_4,1,7,7,29.7,Rainy
2023-01-18,01:15,Cow_5,8,5,2,29.7,Rainy
2023-01-18,01:15,Cow_6,0,13,2,29.7,Rainy
2023-01-18,01:15,Cow_7,10,2,3,29.7,Rainy
2023-01-18,01:15,Cow_8,4,9,2,29.7,Rainy
2023-01-18,01:15,Cow_9,6,8,1,29.7,Rainy
2023-01-18,01:15,Cow_10,2,7,6,29.7,Rainy
2023-01-18,01:30,Cow_1,7,7,1,27.2,Cloudy
2023-01-18,01:30,Cow_2,3,5,7,27.2,Cloudy
2023-01-18,01:30,Cow_3,14,1,0,27.2,Cloudy
2023-01-18,01:30,Cow_4,9,4,2,27.2,Cloudy
2023-01-18,01:30,Cow_5,8,6,1,27.2,Cloudy
