Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition,Camera Field
2023-07-13,00:00,Cow_1,5,4,6,0,36.7,Clear,Field B
2023-07-13,00:00,Cow_2,0,0,0,15,36.7,Clear,Field A
2023-07-13,00:00,Cow_3,0,10,5,0,36.7,Clear,Field C
2023-07-13,00:00,Cow_4,2,5,8,0,36.7,Clear,Field B
2023-07-13,00:00,Cow_5,2,5,8,0,36.7,Clear,Field A
2023-07-13,00:00,Cow_6,12,5,0,0,36.7,Clear,Field B
2023-07-13,00:00,Cow_7,11,4,0,0,36.7,Clear,Field C
2023-07-13,00:00,Cow_8,6,6,3,0,36.7,Clear,Field A
2023-07-13,00:00,Cow_9,12,9,0,0,36.7,Clear,Field B
2023-07-13,00:00,Cow_10,5,5,5,0,36.7,Clear,Field C
2023-07-13,00:00,Cow_11,0,10,6,0,36.7,Clear,Field A
2023-07-13,00:00,Cow_12,13,0,5,0,36.7,Clear,Field C
2023-07-13,00:00,Cow_13,7,3,5,0,36.7,Clear,Field B
2023-07-13,00:00,Cow_14,12,0,8,0,36.7,Clear,Field B
2023-07-13,00:00,Cow_15,9,9,0,0,36.7,Clear,Field C
2023-07-13,00:00,Cow_16,5,2,8,0,36.7,Clear,Field A
2023-07-13,00:00,Cow_17,5,6,4,0,36.7,Clear,Field A
2023-07-13,00:00,Cow_18,13,9,0,0,36.7,Clear,Field A
2023-07-13,00:00,Cow_19,2,7,6,0,36.7,Clear,Field C
2023-07-13,00:00,Cow_20,14,0,5,0,36.7,Clear,Field C
2023-07-13,00:00,Cow_21,3,9,3,0,36.7,Clear,Field B
2023-07-13,00:00,Cow_22,0,9,8,0,36.7,Clear,Field A
2023-07-13,00:00,Cow_23,2,10,3,0,36.7,Clear,Field A
2023-07-13,00:00,Cow_24,0,0,0,15,36.7,Clear,Field A
2023-07-13,00:00,Cow_25,13,0,5,0,36.7,Clear,Field C
2023-07-13,00:00,Cow_26,4,6,5,0,36.7,Clear,Field A
2023-07-13,00:00,Cow_27,10,4,1,0,36.7,Clear,Field C
2023-07-13,00:00,Cow_28,6,3,6,0,36.7,Clear,Field B
2023-07-13,00:00,Cow_29,2,10,3,0,36.7,Clear,Field C
2023-07-13,00:00,Cow_30,6,12,0,0,36.7,Clear,Field C
2023-07-13,00:00,Cow_31,0,10,8,0,36.7,Clear,Field B
2023-07-13,00:00,Cow_32,12,5,0,0,36.7,Clear,Field B
2023-07-13,00:00,Cow_33,12,0,5,0,36.7,Clear,Field C
