Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Temperature (°C),Weather Condition,Notes
2023-08-23,00:00,Cow_1,3,3,9,30.7,Rainy,
2023-08-23,00:00,Cow_2,6,4,5,30.7,Rainy,
2023-08-23,00:00,Cow_3,2,8,5,30.7,Rainy,
2023-08-23,00:00,Cow_4,10,5,0,30.7,Rainy,
2023-08-23,00:00,Cow_5,1,2,12,30.7,Rainy,
2023-08-23,00:00,Cow_6,10,3,2,30.7,Rainy,
2023-08-23,00:00,Cow_7,15,0,0,30.7,Rainy,
2023-08-23,00:00,Cow_8,0,0,15,30.7,Rainy,
2023-08-23,00:00,Cow_9,15,0,0,30.7,Rainy,
2023-08-23,00:00,Cow_10,13,0,2,30.7,Rainy,
2023-08-23,00:15,Cow_1,13,0,2,33.5,Sunny,
2023-08-23,00:15,Cow_2,8,3,4,33.5,Sunny,
2023-08-23,00:15,Cow_3,10,2,3,33.5,Sunny,
2023-08-23,00:15,Cow_4,2,12,1,33.5,Sunny,
2023-08-23,00:15,Cow_5,5,4,6,33.5,Sunny,
2023-08-23,00:15,Cow_6,8,2,5,33.5,Sunny,
2023-08-23,00:15,Cow_7,13,0,2,33.5,Sunny,
2023-08-23,00:15,Cow_8,8,1,6,33.5,Sunny,
2023-08-23,00:15,Cow_9,11,4,0,33.5,Sunny,
2023-08-23,00:15,Cow_10,10,1,4,33.5,Sunny,
2023-08-23,00:30,Cow_1,12,2,1,34.2,Rainy,
2023-08-23,00:30,Cow_2,3,7,5,34.2,Rainy,
2023-08-23,00:30,Cow_3,15,0,0,34.2,Rainy,
2023-08-23,00:30,Cow_4,1,8,6,34.2,Rainy,
2023-08-23,00:30,Cow_5,14,1,0,34.2,Rainy,
2023-08-23,00:30,Cow_6,10,1,4,34.2,Rainy,
2023-08-23,00:30,Cow_7,5,6,4,34.2,Rainy,
2023-08-23,00:30,Cow_8,13,2,0,34.2,Rainy,
2023-08-23,00:30,Cow_9,6,8,1,34.2,Rainy,
2023-08-23,00:30,Cow_10,8,1,6,34.2,Rainy,
2023-08-23,00:45,Cow_1,5,1,9,34.9,Clear,
2023-08-23,00:45,Cow_2,14,1,0,34.9,Clear,
