Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Temperature (°C),Weather Condition,Notes
2024-03-14,00:00,Cow_1,0,6,9,26.4,Clear,
2024-03-14,00:00,Cow_2,7,7,1,26.4,Clear,
2024-03-14,00:00,Cow_3,12,2,1,26.4,Clear,
2024-03-14,00:00,Cow_4,12,0,3,26.4,Clear,
2024-03-14,00:00,Cow_5,7,6,2,26.4,Clear,
2024-03-14,00:00,Cow_6,10,0,5,26.4,Clear,
2024-03-14,00:00,Cow_7,11,0,4,26.4,Clear,
2024-03-14,00:00,Cow_8,4,1,10,26.4,Clear,
2024-03-14,00:00,Cow_9,7,2,6,26.4,Clear,
2024-03-14,00:00,Cow_10,8,3,4,26.4,Clear,
2024-03-14,00:15,Cow_1,9,5,1,32.3,Clear,
2024-03-14,00:15,Cow_2,12,3,0,32.3,Clear,
2024-03-14,00:15,Cow_3,12,0,3,32.3,Clear,
2024-03-14,00:15,Cow_4,5,9,1,32.3,Clear,
2024-03-14,00:15,Cow_5,8,3,4,32.3,Clear,
2024-03-14,00:15,Cow_6,1,7,7,32.3,Clear,
2024-03-14,00:15,Cow_7,15,0,0,32.3,Clear,
2024-03-14,00:15,Cow_8,2,9,4,32.3,Clear,
2024-03-14,00:15,Cow_9,8,4,3,32.3,Clear,
2024-03-14,00:15,Cow_10,15,0,0,32.3,Clear,
2024-03-14,00:30,Cow_1,0,11,4,27.7,Rainy,
2024-03-14,00:30,Cow_2,2,4,9,27.7,Rainy,
2024-03-14,00:30,Cow_3,4,8,3,27.7,Rainy,
2024-03-14,00:30,Cow_4,9,1,5,27.7,Rainy,
2024-03-14,00:30,Cow_5,13,0,2,27.7,Rainy,
2024-03-14,00:30,Cow_6,5,8,2,27.7,Rainy,
2024-03-14,00:30,Cow_7,0,0,15,27.7,Rainy,
2024-03-14,00:30,Cow_8,9,3,3,27.7,Rainy,
2024-03-14,00:30,Cow_9,8,6,1,27.7,Rainy,
2024-03-14,00:30,Cow_10,7,4,4,27.7,Rainy,
2024-03-14,00:45,Cow_1,7,1,7,34.2,Rainy,
2024-03-14,00:45,Cow_2,1,9,5,34.2,Rainy,
2024-03-14,00:45,Cow_3,10,5,0,34.2,Rainy,
2024-03-14,00:45,Cow_4,14,1,0,34.2,Rainy,
2024-03-14,00:45,Cow_5,8,0,7,34.2,Rainy,
2024-03-14,00:45,Cow_6,0,0,15,34.2,Rainy,
2024-03-14,00:45,Cow_7,12,2,1,34.2,Rainy,
2024-03-14,00:45,Cow_8,14,1,0,34.2,Rainy,
2024-03-14,00:45,Cow_9,7,7,1,34.2,Rainy,
2024-03-14,00:45,Cow_10,10,5,0,34.2,Rainy,
2024-03-14,01:00,Cow_1,12,3,0,31.0,Cloudy,
2024-03-14,01:00,Cow_2,8,3,4,31.0,Cloudy,
2024-03-14,01:00,Cow_3,12,3,0,31.0,Cloudy,
2024-03-14,01:00,Cow_4,1,8,6,31.0,Cloudy,
2024-03-14,01:00,Cow_5,10,3,2,31.0,Cloudy,
2024-03-14,01:00,Cow_6,14,0,1,31.0,Cloudy,
2024-03-14,01:00,Cow_7,15,0,0,31.0,Cloudy,
2024-03-14,01:00,Cow_8,15,0,0,31.0,Cloudy,
2024-03-14,01:00,Cow_9,10,2,3,31.0,Cloudy,
2024-03-14,01:00,Cow_10,5,9,1,31.0,Cloudy,
2024-03-14,01:15,Cow_1,13,0,2,25.3,Sunny,
2024-03-14,01:15,Cow_2,6,2,7,25.3,Sunny,
2024-03-14,01:15,Cow_3,9,3,3,25.3,Sunny,
2024-03-14,01:15,Cow_4,13,1,1,25.3,Sunny,
2024-03-14,01:15,Cow_5,6,5,4,25.3,Sunny,
2024-03-14,01:15,Cow_6,10,0,5,25.3,Sunny,
2024-03-14,01:15,Cow_7,4,8,3,25.3,Sunny,
2024-03-14,01:15,Cow_8,4,2,9,25.3,Sunny,
2024-03-14,01:15,Cow_9,1,11,3,25.3,Sunny,
2024-03-14,01:15,Cow_10,4,11,0,25.3,Sunny,
2024-03-14,01:30,Cow_1,5,10,0,25.6,Sunny,
2024-03-14,01:30,Cow_2,0,1,14,25.6,Sunny,
2024-03-14,01:30,Cow_3,14,0,1,25.6,Sunny,
2024-03-14,01:30,Cow_4,1,3,11,25.6,Sunny,
2024-03-14,01:30,Cow_5,12,1,2,25.6,Sunny,
